"",BBK01.OEHI08J,BBK01.OEHI08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:09,
2002-01,3.064,
2002-04,3.067,
2002-07,3.095,
2002-10,3.227,
2003-01,3.330,
2003-04,3.388,
2003-07,3.448,
2003-10,3.586,
2004-01,3.693,
2004-04,3.756,
2004-07,4.175,
2004-10,3.973,
2005-01,4.030,
2005-04,4.052,
2005-07,4.067,
2005-10,4.179,
2006-01,4.195,
2006-04,4.135,
2006-07,4.058,
2006-10,3.950,
2007-01,3.693,
2007-04,3.504,
2007-07,3.333,
2007-10,3.261,
2008-01,3.103,
2008-04,2.950,
2008-07,2.777,
2008-10,2.791,
2009-01,2.936,
2009-04,2.917,
2009-07,2.956,
2009-10,3.122,
2010-01,3.176,
2010-04,3.167,
2010-07,3.153,
2010-10,3.182,
2011-01,3.158,
2011-04,3.135,
2011-07,3.108,
2011-10,3.138,
2012-01,3.166,
2012-04,3.193,
2012-07,3.237,
2012-10,3.337,
2013-01,3.413,
2013-04,3.424,
2013-07,3.446,
2013-10,3.486,
2014-01,3.492,
2014-04,3.452,
2014-07,3.414,
