"",BBK01.OEAB14O,BBK01.OEAB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:42,
2002-01,2.473,
2002-04,2.413,
2002-07,2.406,
2002-10,2.340,
2003-01,2.209,
2003-04,2.147,
2003-07,2.083,
2003-10,2.013,
2004-01,2.004,
2004-04,1.982,
2004-07,1.929,
2004-10,1.878,
2005-01,2.156,
2005-04,2.125,
2005-07,2.068,
2005-10,2.005,
2006-01,2.013,
2006-04,2.011,
2006-07,1.961,
2006-10,1.904,
2007-01,1.887,
2007-04,1.905,
2007-07,1.824,
2007-10,1.803,
2008-01,1.827,
2008-04,1.827,
2008-07,1.781,
2008-10,1.831,
2009-01,1.871,
2009-04,1.862,
2009-07,1.807,
2009-10,1.764,
2010-01,1.772,
2010-04,1.820,
2010-07,1.738,
2010-10,1.694,
2011-01,1.720,
2011-04,1.730,
2011-07,1.664,
2011-10,1.604,
2012-01,1.635,
2012-04,1.661,
2012-07,1.582,
2012-10,1.764,
2013-01,1.614,
2013-04,1.585,
2013-07,1.517,
2013-10,1.652,
2014-01,1.498,
2014-04,1.523,
2014-07,1.480,
