"",BBK01.OEYM02L,BBK01.OEYM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:38,
2002-01,0.277,
2002-04,0.353,
2002-07,0.275,
2002-10,0.204,
2003-01,0.226,
2003-04,0.318,
2003-07,0.184,
2003-10,0.144,
2004-01,0.167,
2004-04,0.139,
2004-07,0.074,
2004-10,0.168,
2005-01,0.127,
2005-04,0.375,
2005-07,0.142,
2005-10,0.297,
2006-01,0.292,
2006-04,0.278,
2006-07,0.246,
2006-10,0.208,
2007-01,0.531,
2007-04,0.203,
2007-07,0.215,
2007-10,0.237,
2008-01,0.336,
2008-04,0.342,
2008-07,0.220,
2008-10,0.749,
2009-01,0.228,
2009-04,0.383,
2009-07,0.446,
2009-10,0.369,
2010-01,0.266,
2010-04,0.213,
2010-07,0.701,
2010-10,0.205,
2011-01,0.435,
2011-04,0.747,
2011-07,0.391,
2011-10,0.603,
2012-01,0.323,
2012-04,0.482,
2012-07,0.309,
2012-10,0.581,
2013-01,0.387,
2013-04,0.538,
2013-07,0.366,
2013-10,0.536,
2014-01,0.931,
2014-04,0.846,
2014-07,1.237,
