"",BBK01.OECJ04N,BBK01.OECJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:32,
2002-01,4.219,
2002-04,4.174,
2002-07,4.252,
2002-10,4.699,
2003-01,4.542,
2003-04,4.510,
2003-07,3.595,
2003-10,3.311,
2004-01,3.314,
2004-04,3.442,
2004-07,4.175,
2004-10,4.605,
2005-01,3.938,
2005-04,4.078,
2005-07,4.212,
2005-10,4.556,
2006-01,5.451,
2006-04,4.664,
2006-07,5.192,
2006-10,5.292,
2007-01,4.806,
2007-04,4.711,
2007-07,5.393,
2007-10,7.945,
2008-01,6.883,
2008-04,6.567,
2008-07,8.168,
2008-10,13.331,
2009-01,11.083,
2009-04,7.753,
2009-07,13.008,
2009-10,9.283,
2010-01,5.628,
2010-04,14.170,
2010-07,8.252,
2010-10,11.878,
2011-01,8.056,
2011-04,13.195,
2011-07,11.331,
2011-10,16.317,
2012-01,8.214,
2012-04,16.583,
2012-07,16.077,
2012-10,8.832,
2013-01,6.246,
2013-04,5.312,
2013-07,4.927,
2013-10,4.706,
2014-01,5.680,
2014-04,5.238,
2014-07,4.710,
