"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:23,
1991-01,39.558,
1991-04,0.017,
1991-07,5.961,
1991-10,49.226,
1992-01,98.549,
1992-04,-145.062,
1992-07,68.129,
1992-10,18.575,
1993-01,10.265,
1993-04,245.823,
1993-07,-104.373,
1993-10,228.427,
1994-01,25.860,
1994-04,-12.990,
1994-07,169.213,
1994-10,113.364,
1995-01,19.249,
1995-04,19.493,
1995-07,250.329,
1995-10,168.459,
1996-01,236.212,
1996-04,453.735,
1996-07,322.246,
1996-10,414.502,
1997-01,372.339,
1997-04,-104.725,
1997-07,-143.232,
1997-10,173.667,
1998-01,524.344,
1998-04,132.316,
1998-07,372.041,
1998-10,-246.556,
1999-01,155.631,
1999-04,107.528,
1999-07,179.625,
1999-10,-2.233,
2000-01,208.952,
2000-04,91.125,
2000-07,-53.330,
2000-10,-113.941,
2001-01,238.302,
2001-04,-103.050,
2001-07,-225.392,
2001-10,-31.934,
2002-01,-44.625,
2002-04,-31.021,
2002-07,-9.349,
2002-10,-206.116,
2003-01,-217.222,
2003-04,-26.569,
2003-07,-74.050,
2003-10,-16.541,
2004-01,39.284,
2004-04,-8.234,
2004-07,-19.912,
2004-10,-14.622,
2005-01,-346.251,
2005-04,-113.087,
2005-07,-391.853,
2005-10,-127.135,
2006-01,66.906,
2006-04,56.436,
2006-07,88.248,
2006-10,-76.757,
2007-01,-41.293,
2007-04,-69.884,
2007-07,14.743,
2007-10,7.853,
2008-01,-52.097,
2008-04,-56.827,
2008-07,-114.125,
2008-10,-35.054,
2009-01,-0.819,
2009-04,11.921,
2009-07,3.146,
2009-10,12.059,
2010-01,9.282,
2010-04,19.772,
2010-07,-56.041,
2010-10,-28.524,
2011-01,4.856,
2011-04,-183.317,
2011-07,0.491,
2011-10,-0.392,
2012-01,1.103,
2012-04,-5.491,
2012-07,-43.578,
2012-10,-76.402,
2013-01,18.435,
2013-04,-28.613,
2013-07,7.531,
2013-10,22.907,
2014-01,-53.929,Provisional value
2014-04,20.313,Provisional value
2014-07,-188.730,Provisional value
2014-10,-0.872,Provisional value
