"",BBK01.OECB18H,BBK01.OECB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:57,
2002-01,1.481,
2002-04,1.524,
2002-07,1.339,
2002-10,1.317,
2003-01,1.205,
2003-04,1.174,
2003-07,1.201,
2003-10,1.181,
2004-01,0.997,
2004-04,1.058,
2004-07,1.079,
2004-10,1.075,
2005-01,1.111,
2005-04,1.135,
2005-07,1.109,
2005-10,1.121,
2006-01,1.035,
2006-04,0.994,
2006-07,1.024,
2006-10,1.007,
2007-01,0.951,
2007-04,0.911,
2007-07,0.925,
2007-10,0.930,
2008-01,0.912,
2008-04,0.905,
2008-07,0.952,
2008-10,0.914,
2009-01,0.837,
2009-04,0.915,
2009-07,0.996,
2009-10,0.836,
2010-01,0.803,
2010-04,0.787,
2010-07,0.847,
2010-10,1.067,
2011-01,0.990,
2011-04,1.000,
2011-07,1.014,
2011-10,1.040,
2012-01,0.991,
2012-04,0.970,
2012-07,1.044,
2012-10,0.873,
2013-01,0.710,
2013-04,0.849,
2013-07,0.973,
2013-10,0.950,
2014-01,0.914,
2014-04,0.891,
2014-07,0.887,
