"",BBFN1.M.DE.N.1.A.AT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:05,
1982-09,0.223,
1982-10,0.222,
1982-11,0.221,
1982-12,0.218,
1983-01,0.229,
1983-02,0.228,
1983-03,0.227,
1983-04,0.231,
1983-05,0.229,
1983-06,0.225,
1983-07,0.225,
1983-08,0.225,
1983-09,0.225,
1983-10,0.224,
1983-11,0.224,
1983-12,0.224,
1984-01,0.220,
1984-02,0.220,
1984-03,0.220,
1984-04,0.220,
1984-05,0.219,
1984-06,0.221,
1984-07,0.215,
1984-08,0.214,
1984-09,0.215,
1984-10,0.215,
1984-11,0.227,
1984-12,0.232,
1985-01,0.275,
1985-02,0.277,
1985-03,0.283,
1985-04,0.283,
1985-05,0.277,
1985-06,0.330,
1985-07,0.345,
1985-08,0.344,
1985-09,0.345,
1985-10,0.346,
1985-11,0.349,
1985-12,0.352,
1986-01,0.346,
1986-02,0.348,
1986-03,0.348,
1986-04,0.318,
1986-05,0.330,
1986-06,0.331,
1986-07,0.333,
1986-08,0.335,
1986-09,0.332,
1986-10,0.339,
1986-11,0.351,
1986-12,0.345,
1987-01,0.345,
1987-02,0.355,
1987-03,0.357,
1987-04,0.357,
1987-05,0.363,
1987-06,0.355,
1987-07,0.354,
1987-08,0.356,
1987-09,0.338,
1987-10,0.336,
1987-11,0.336,
1987-12,0.339,
1988-01,0.341,
1988-02,0.344,
1988-03,0.397,
1988-04,0.476,
1988-05,0.479,
1988-06,0.423,
1988-07,0.420,
1988-08,0.418,
1988-09,0.402,
1988-10,0.399,
1988-11,0.398,
1988-12,0.411,
1989-01,0.394,
1989-02,0.413,
1989-03,0.413,
1989-04,0.420,
1989-05,0.419,
1989-06,0.414,
1989-07,0.412,
1989-08,0.411,
1989-09,0.399,
1989-10,0.398,
1989-11,0.399,
1989-12,0.427,
1990-01,0.573,
1990-02,0.573,
1990-03,0.595,
1990-04,0.600,
1990-05,0.638,
1990-06,0.646,
1990-07,0.639,
1990-08,0.644,
1990-09,0.633,
1990-10,0.632,
1990-11,0.629,
1990-12,0.638,
1991-01,0.635,
1991-02,0.667,
1991-03,0.717,
1991-04,0.738,
1991-05,0.760,
1991-06,0.759,
1991-07,0.767,
1991-08,0.762,
1991-09,0.644,
1991-10,0.652,
1991-11,0.625,
1991-12,0.622,
1992-01,0.615,
1992-02,0.618,
1992-03,0.618,
1992-04,0.619,
1992-05,0.617,
1992-06,0.621,
1992-07,0.619,
1992-08,0.597,
1992-09,0.578,
1992-10,0.582,
1992-11,0.592,
1992-12,0.581,
1993-01,0.576,
1993-02,0.601,
1993-03,0.605,
1993-04,0.612,
1993-05,0.622,
1993-06,0.628,
1993-07,0.632,
1993-08,0.637,
1993-09,0.648,
1993-10,0.657,
1993-11,0.665,
1993-12,0.683,
1994-01,0.667,
1994-02,0.671,
1994-03,0.661,
1994-04,0.653,
1994-05,0.654,
1994-06,0.655,
1994-07,0.649,
1994-08,0.650,
1994-09,0.658,
1994-10,0.651,
1994-11,0.665,
1994-12,0.691,
1995-01,0.708,
1995-02,0.708,
1995-03,0.722,
1995-04,0.697,
1995-05,0.690,
1995-06,0.665,
1995-07,0.686,
1995-08,0.698,
1995-09,0.701,
1995-10,0.698,
1995-11,0.706,
1995-12,0.713,
1996-01,0.741,
1996-02,0.749,
1996-03,0.743,
1996-04,0.749,
1996-05,0.754,
1996-06,0.725,
1996-07,0.710,
1996-08,0.703,
1996-09,0.702,
1996-10,0.725,
1996-11,0.704,
1996-12,0.715,
1997-01,0.711,
1997-02,0.710,
1997-03,0.711,
1997-04,0.710,
1997-05,0.713,
1997-06,0.722,
1997-07,0.749,
1997-08,0.733,
1997-09,0.731,
1997-10,0.734,
1997-11,0.721,
1997-12,0.758,
1998-01,0.760,
1998-02,0.758,
1998-03,0.762,
1998-04,0.766,
1998-05,0.767,
1998-06,0.763,
1998-07,0.784,
1998-08,0.762,
1998-09,0.748,
1998-10,0.767,
1998-11,0.764,
1998-12,0.790,
1999-01,0.922,
1999-02,0.967,
1999-03,0.885,
1999-04,0.941,
1999-05,0.951,
1999-06,0.956,
1999-07,0.989,
1999-08,1.074,
1999-09,1.019,
1999-10,1.046,
1999-11,1.035,
1999-12,1.091,
2000-01,1.097,
2000-02,1.208,
2000-03,0.922,
2000-04,0.956,
2000-05,0.973,
2000-06,0.977,
2000-07,0.969,
2000-08,0.999,
2000-09,0.993,
2000-10,1.086,
2000-11,1.108,
2000-12,1.400,
2001-01,1.460,
2001-02,1.476,
2001-03,1.494,
2001-04,1.503,
2001-05,1.654,
2001-06,1.704,
2001-07,1.731,
2001-08,1.716,
2001-09,1.745,
2001-10,1.859,
2001-11,1.837,
2001-12,1.882,
2002-01,1.907,
2002-02,1.943,
2002-03,2.044,
2002-04,2.079,
2002-05,2.158,
2002-06,2.166,
2002-07,2.090,
2002-08,2.087,
2002-09,1.976,
2002-10,2.079,
2002-11,2.102,
2002-12,2.117,
2003-01,2.389,
2003-02,2.573,
2003-03,2.654,
2003-04,2.995,
2003-05,3.168,
2003-06,3.433,
2003-07,3.579,
2003-08,3.610,
2003-09,3.655,
2003-10,3.673,
2003-11,3.669,
2003-12,3.770,
2004-01,3.865,
2004-02,4.091,
2004-03,4.413,
2004-04,4.595,
2004-05,5.040,
2004-06,5.424,
2004-07,5.998,
2004-08,6.081,
2004-09,6.489,
2004-10,6.624,
2004-11,6.953,
2004-12,6.882,
2005-01,8.578,
2005-02,8.706,
2005-03,8.925,
2005-04,9.168,
2005-05,7.528,
2005-06,7.947,
2005-07,7.883,
2005-08,8.074,
2005-09,8.120,
2005-10,8.249,
2005-11,8.541,
2005-12,8.864,
2006-01,9.157,
2006-02,9.616,
2006-03,10.255,
2006-04,10.684,
2006-05,10.663,
2006-06,10.907,
2006-07,11.022,
2006-08,11.133,
2006-09,11.375,
2006-10,11.566,
2006-11,11.794,
2006-12,11.927,
2007-01,12.715,
2007-02,13.088,
2007-03,13.514,
2007-04,13.748,
2007-05,14.094,
2007-06,14.363,
2007-07,14.474,
2007-08,14.532,
2007-09,14.534,
2007-10,14.709,
2007-11,14.743,
2007-12,14.520,
2008-01,14.841,
2008-02,15.055,
2008-03,15.242,
2008-04,15.379,
2008-05,15.499,
2008-06,15.855,
2008-07,15.932,
2008-08,16.008,
2008-09,16.254,
2008-10,16.271,
2008-11,16.436,
2008-12,16.612,
2009-01,16.976,
2009-02,17.340,
2009-03,17.407,
2009-04,17.576,
2009-05,17.690,
2009-06,17.766,
2009-07,17.593,
2009-08,17.913,
2009-09,18.245,
2009-10,18.557,
2009-11,18.208,
2009-12,18.598,
2010-01,18.841,
2010-02,19.617,
2010-03,19.821,
2010-04,19.913,
2010-05,20.112,
2010-06,20.184,
2010-07,20.436,
2010-08,20.542,
2010-09,20.769,
2010-10,20.571,
2010-11,20.749,
2010-12,20.736,
2011-01,21.017,
2011-02,21.306,
2011-03,21.298,
2011-04,21.509,
2011-05,21.682,
2011-06,22.023,
2011-07,22.200,
2011-08,22.477,
2011-09,23.358,
2011-10,22.989,
2011-11,23.449,
2011-12,23.867,
2012-01,23.800,
2012-02,24.019,
2012-03,24.880,
2012-04,24.378,
2012-05,24.121,
2012-06,24.629,
2012-07,25.126,
2012-08,25.488,
2012-09,25.459,
2012-10,25.773,
2012-11,26.057,
2012-12,26.500,
2013-01,26.563,
2013-02,26.997,
2013-03,27.149,
2013-04,27.462,
2013-05,27.939,
2013-06,28.363,
2013-07,28.522,
2013-08,28.766,
2013-09,29.036,
2013-10,29.165,
2013-11,30.004,
2013-12,30.146,
2014-01,29.740,
2014-02,30.692,
2014-03,30.845,
2014-04,31.030,
2014-05,31.265,
2014-06,31.748,
2014-07,31.856,
2014-08,31.982,
2014-09,32.075,
2014-10,31.796,
2014-11,31.893,
2014-12,31.746,
