"",BBK01.OEAA08T,BBK01.OEAA08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:20,
2002-01,0.660,
2002-04,0.656,
2002-07,0.651,
2002-10,0.665,
2003-01,0.667,
2003-04,0.662,
2003-07,0.676,
2003-10,0.640,
2004-01,1.208,
2004-04,1.170,
2004-07,1.155,
2004-10,0.980,
2005-01,0.972,
2005-04,0.969,
2005-07,0.972,
2005-10,0.962,
2006-01,0.946,
2006-04,0.933,
2006-07,0.900,
2006-10,0.886,
2007-01,0.873,
2007-04,0.862,
2007-07,0.851,
2007-10,0.821,
2008-01,0.789,
2008-04,0.778,
2008-07,0.777,
2008-10,0.778,
2009-01,0.767,
2009-04,0.757,
2009-07,0.769,
2009-10,0.789,
2010-01,0.786,
2010-04,0.785,
2010-07,0.776,
2010-10,0.776,
2011-01,0.774,
2011-04,0.762,
2011-07,0.746,
2011-10,0.725,
2012-01,0.708,
2012-04,0.699,
2012-07,0.685,
2012-10,0.672,
2013-01,0.659,
2013-04,0.645,
2013-07,0.629,
2013-10,0.608,
2014-01,0.592,
2014-04,0.595,
2014-07,0.594,
