"",BBFN1.M.DE.N.1.L.W00200.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from advance payments received / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:52,
1994-11,.,No value available
1994-12,.,No value available
1995-01,2.121,
1995-02,2.036,
1995-03,1.987,
1995-04,2.056,
1995-05,2.008,
1995-06,2.104,
1995-07,2.087,
1995-08,2.129,
1995-09,1.804,
1995-10,1.883,
1995-11,1.820,
1995-12,1.719,
1996-01,1.692,
1996-02,1.728,
1996-03,1.712,
1996-04,1.692,
1996-05,1.758,
1996-06,1.819,
1996-07,1.817,
1996-08,1.857,
1996-09,1.531,
1996-10,1.587,
1996-11,1.895,
1996-12,1.896,
1997-01,1.951,
1997-02,1.898,
1997-03,1.899,
1997-04,1.942,
1997-05,1.957,
1997-06,1.996,
1997-07,1.985,
1997-08,2.045,
1997-09,1.897,
1997-10,1.750,
1997-11,1.749,
1997-12,1.822,
1998-01,1.840,
1998-02,1.894,
1998-03,1.767,
1998-04,1.759,
1998-05,1.763,
1998-06,1.966,
1998-07,2.001,
1998-08,2.075,
1998-09,1.934,
1998-10,1.933,
1998-11,1.891,
1998-12,1.821,
1999-01,1.927,
1999-02,1.891,
1999-03,1.847,
1999-04,1.844,
1999-05,1.765,
1999-06,2.038,
1999-07,1.934,
1999-08,1.925,
1999-09,1.717,
1999-10,1.806,
1999-11,1.900,
1999-12,1.843,
2000-01,1.832,
2000-02,1.886,
2000-03,1.968,
2000-04,1.857,
2000-05,1.868,
2000-06,2.017,
2000-07,2.099,
2000-08,2.403,
2000-09,2.352,
2000-10,2.466,
2000-11,2.569,
2000-12,2.623,
2001-01,2.633,
2001-02,2.722,
2001-03,2.690,
2001-04,2.808,
2001-05,2.885,
2001-06,2.974,
2001-07,2.909,
2001-08,3.184,
2001-09,3.061,
2001-10,3.075,
2001-11,3.116,
2001-12,2.967,
2002-01,3.053,
2002-02,3.175,
2002-03,3.283,
2002-04,3.117,
2002-05,3.224,
2002-06,3.263,
2002-07,3.244,
2002-08,3.281,
2002-09,3.205,
2002-10,3.638,
2002-11,3.268,
2002-12,3.275,
2003-01,3.299,
2003-02,3.420,
2003-03,3.390,
2003-04,4.088,
2003-05,3.698,
2003-06,3.594,
2003-07,4.028,
2003-08,4.082,
2003-09,4.137,
2003-10,4.319,
2003-11,4.363,
2003-12,4.145,
2004-01,4.292,
2004-02,4.221,
2004-03,5.468,
2004-04,5.634,
2004-05,5.883,
2004-06,5.618,
2004-07,5.726,
2004-08,4.972,
2004-09,4.932,
2004-10,5.113,
2004-11,5.210,
2004-12,5.036,
2005-01,5.157,
2005-02,5.236,
2005-03,4.988,
2005-04,5.091,
2005-05,5.089,
2005-06,4.998,
2005-07,5.040,
2005-08,5.150,
2005-09,4.946,
2005-10,4.849,
2005-11,4.716,
2005-12,4.699,
2006-01,4.855,
2006-02,5.084,
2006-03,5.284,
2006-04,5.381,
2006-05,5.324,
2006-06,5.279,
2006-07,5.608,
2006-08,5.960,
2006-09,5.841,
2006-10,5.833,
2006-11,6.041,
2006-12,5.914,
2007-01,5.894,
2007-02,5.960,
2007-03,6.064,
2007-04,6.222,
2007-05,6.359,
2007-06,6.407,
2007-07,6.507,
2007-08,6.588,
2007-09,6.399,
2007-10,6.477,
2007-11,6.358,
2007-12,6.315,
2008-01,6.442,
2008-02,6.513,
2008-03,6.592,
2008-04,6.658,
2008-05,6.627,
2008-06,6.743,
2008-07,6.746,
2008-08,6.841,
2008-09,6.668,
2008-10,6.748,
2008-11,6.882,
2008-12,6.674,
2009-01,6.854,
2009-02,6.728,
2009-03,6.618,
2009-04,6.733,
2009-05,6.746,
2009-06,6.660,
2009-07,6.919,
2009-08,6.953,
2009-09,6.707,
2009-10,6.596,
2009-11,6.785,
2009-12,6.785,
2010-01,6.955,
2010-02,6.984,
2010-03,6.881,
2010-04,7.008,
2010-05,7.119,
2010-06,7.137,
2010-07,7.137,
2010-08,7.051,
2010-09,7.005,
2010-10,7.164,
2010-11,7.096,
2010-12,7.612,
2011-01,8.521,
2011-02,8.587,
2011-03,8.891,
2011-04,8.952,
2011-05,8.945,
2011-06,8.601,
2011-07,8.868,
2011-08,8.868,
2011-09,8.903,
2011-10,8.891,
2011-11,8.930,
2011-12,9.022,
2012-01,9.234,
2012-02,9.118,
2012-03,8.878,
2012-04,8.826,
2012-05,8.834,
2012-06,8.747,
2012-07,8.842,
2012-08,8.757,
2012-09,9.046,
2012-10,8.706,
2012-11,8.747,
2012-12,8.885,
2013-01,9.032,
2013-02,8.898,
2013-03,8.811,
2013-04,8.911,
2013-05,8.513,
2013-06,8.241,
2013-07,8.283,
2013-08,8.027,
2013-09,8.063,
2013-10,8.554,
2013-11,8.344,
2013-12,8.174,
2014-01,8.345,
2014-02,8.489,
2014-03,8.215,
2014-04,8.386,
2014-05,8.296,
2014-06,8.095,
2014-07,8.223,
2014-08,8.057,
2014-09,8.223,
2014-10,8.029,
2014-11,8.173,
2014-12,8.545,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
