"",BBK01.OEAJ04O,BBK01.OEAJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:20,
2002-01,1.927,
2002-04,1.958,
2002-07,2.141,
2002-10,2.436,
2003-01,1.730,
2003-04,1.275,
2003-07,2.536,
2003-10,2.753,
2004-01,2.790,
2004-04,1.676,
2004-07,2.381,
2004-10,2.731,
2005-01,2.516,
2005-04,2.468,
2005-07,2.672,
2005-10,2.690,
2006-01,2.865,
2006-04,2.739,
2006-07,3.229,
2006-10,3.120,
2007-01,2.826,
2007-04,2.858,
2007-07,3.344,
2007-10,4.415,
2008-01,4.089,
2008-04,4.209,
2008-07,3.904,
2008-10,3.869,
2009-01,3.326,
2009-04,3.165,
2009-07,3.469,
2009-10,3.660,
2010-01,3.427,
2010-04,3.140,
2010-07,3.153,
2010-10,3.426,
2011-01,3.475,
2011-04,3.927,
2011-07,4.283,
2011-10,4.164,
2012-01,4.016,
2012-04,3.874,
2012-07,3.925,
2012-10,3.609,
2013-01,2.810,
2013-04,3.029,
2013-07,2.904,
2013-10,3.030,
2014-01,2.630,
2014-04,2.468,
2014-07,2.458,
