"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Investmentfondsanteile / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:04,
1991-01,158.702,
1991-02,105.422,
1991-03,56.105,
1991-04,72.943,
1991-05,62.637,
1991-06,116.170,
1991-07,73.021,
1991-08,60.326,
1991-09,101.634,
1991-10,120.780,
1991-11,138.107,
1991-12,87.297,
1992-01,366.293,
1992-02,161.409,
1992-03,167.639,
1992-04,96.031,
1992-05,99.398,
1992-06,110.697,
1992-07,61.966,
1992-08,49.004,
1992-09,103.498,
1992-10,139.205,
1992-11,129.640,
1992-12,136.714,
1993-01,200.771,
1993-02,225.279,
1993-03,547.424,
1993-04,505.549,
1993-05,257.410,
1993-06,237.722,
1993-07,206.891,
1993-08,389.854,
1993-09,266.745,
1993-10,390.357,
1993-11,568.772,
1993-12,995.143,
1994-01,843.569,
1994-02,676.911,
1994-03,580.846,
1994-04,698.272,
1994-05,811.849,
1994-06,726.034,
1994-07,332.339,
1994-08,307.030,
1994-09,354.829,
1994-10,374.725,
1994-11,1202.654,
1994-12,770.235,
1995-01,530.744,
1995-02,707.874,
1995-03,690.308,
1995-04,769.479,
1995-05,448.277,
1995-06,992.517,
1995-07,560.818,
1995-08,722.065,
1995-09,752.054,
1995-10,1356.385,
1995-11,888.160,
1995-12,1117.513,
1996-01,1264.538,
1996-02,1557.631,
1996-03,951.184,
1996-04,789.023,
1996-05,819.240,
1996-06,704.565,
1996-07,722.885,
1996-08,520.532,
1996-09,1082.871,
1996-10,884.353,
1996-11,1474.738,
1996-12,1181.628,
1997-01,1844.151,
1997-02,1113.486,
1997-03,959.043,
1997-04,911.933,
1997-05,913.002,
1997-06,931.010,
1997-07,1126.447,
1997-08,908.196,
1997-09,766.581,
1997-10,1002.992,
1997-11,1109.526,
1997-12,1482.363,
1998-01,1887.643,
1998-02,1161.404,
1998-03,1370.197,
1998-04,1273.865,
1998-05,1067.919,
1998-06,1056.561,
1998-07,1381.744,
1998-08,1494.504,
1998-09,1263.671,
1998-10,894.112,
1998-11,1503.206,
1998-12,3155.143,
1999-01,2914.639,
1999-02,2923.904,
1999-03,2218.683,
1999-04,1719.286,
1999-05,1284.686,
1999-06,1898.138,
1999-07,2273.802,
1999-08,1993.654,
1999-09,1994.518,
1999-10,2750.574,
1999-11,3356.742,
1999-12,3495.642,
2000-01,4977.870,
2000-02,5119.912,
2000-03,5985.362,
2000-04,4165.865,
2000-05,3422.091,
