"",BBXN1.Q.I7.Y.NAG.B1QG00.0000.Z0N.IND.I00,BBXN1.Q.I7.Y.NAG.B1QG00.0000.Z0N.IND.I00_FLAGS
"",Euro area 18 (fixed composition) / National accounts - Gross domestic product / Gross domestic product / Total / Calendar and seasonally adjusted / Indices,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:33,
1995-01,77.27,
1995-04,77.71,
1995-07,77.99,
1995-10,78.26,
1996-01,78.30,
1996-04,78.88,
1996-07,79.36,
1996-10,79.63,
1997-01,79.89,
1997-04,80.87,
1997-07,81.47,
1997-10,82.35,
1998-01,82.84,
1998-04,83.26,
1998-07,83.68,
1998-10,83.92,
1999-01,84.66,
1999-04,85.23,
1999-07,86.12,
1999-10,87.20,
2000-01,88.21,
2000-04,89.05,
2000-07,89.50,
2000-10,90.19,
2001-01,90.97,
2001-04,91.04,
2001-07,91.10,
2001-10,91.23,
2002-01,91.41,
2002-04,91.88,
2002-07,92.20,
2002-10,92.25,
2003-01,92.06,
2003-04,92.14,
2003-07,92.62,
2003-10,93.32,
2004-01,93.77,
2004-04,94.29,
2004-07,94.61,
2004-10,94.93,
2005-01,95.08,
2005-04,95.76,
2005-07,96.42,
2005-10,97.00,
2006-01,97.90,
2006-04,98.98,
2006-07,99.61,
2006-10,100.69,
2007-01,101.44,
2007-04,102.11,
2007-07,102.57,
2007-10,103.06,
2008-01,103.75,
2008-04,103.33,
2008-07,102.75,
2008-10,100.87,
2009-01,97.97,
2009-04,97.76,
2009-07,98.06,
2009-10,98.51,
2010-01,98.92,
2010-04,99.93,
2010-07,100.33,
2010-10,100.82,
2011-01,101.71,
2011-04,101.74,
2011-07,101.74,
2011-10,101.46,
2012-01,101.37,
2012-04,101.08,
2012-07,100.97,
2012-10,100.52,
2013-01,100.14,
2013-04,100.47,
2013-07,100.64,
2013-10,100.89,
2014-01,101.21,
2014-04,101.27,
2014-07,101.43,
2014-10,101.78,
"",Source: EUROSTAT.,
"",Methodology: Seasonally and working day adjusted. ESA 2010. Reference year: 2010. Chained Indices (Laspeyres). Changing of weights: Annually. Chaining method: Annual Overlap.,
