"",BBK01.OEAA49P,BBK01.OEAA49P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:06,
2002-01,1.799,
2002-04,1.739,
2002-07,1.764,
2002-10,1.792,
2003-01,1.763,
2003-04,1.824,
2003-07,1.875,
2003-10,1.911,
2004-01,1.971,
2004-04,2.052,
2004-07,1.981,
2004-10,2.013,
2005-01,2.022,
2005-04,2.101,
2005-07,2.064,
2005-10,2.016,
2006-01,1.944,
2006-04,1.881,
2006-07,1.839,
2006-10,1.933,
2007-01,1.992,
2007-04,2.088,
2007-07,2.107,
2007-10,2.300,
2008-01,2.358,
2008-04,2.818,
2008-07,3.069,
2008-10,3.129,
2009-01,3.125,
2009-04,3.069,
2009-07,3.063,
2009-10,2.994,
2010-01,2.928,
2010-04,3.035,
2010-07,2.937,
2010-10,2.917,
2011-01,2.879,
2011-04,3.005,
2011-07,3.042,
2011-10,3.171,
2012-01,3.154,
2012-04,3.326,
2012-07,3.262,
2012-10,3.336,
2013-01,3.397,
2013-04,4.549,
2013-07,4.594,
2013-10,4.625,
2014-01,4.666,
2014-04,4.633,
2014-07,4.607,
