"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F5._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F5._Z._T._X.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Equity and investment fund shares/units / Rest of the World / Total economy / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:46,
1991-01,301.690,
1991-04,906.551,
1991-07,279.862,
1991-10,947.937,
1992-01,-481.520,
1992-04,-1192.992,
1992-07,-761.117,
1992-10,-1628.100,
1993-01,59.997,
1993-04,-89.574,
1993-07,-906.221,
1993-10,-746.784,
1994-01,-347.890,
1994-04,142.232,
1994-07,229.886,
1994-10,1795.732,
1995-01,1157.604,
1995-04,242.479,
1995-07,646.998,
1995-10,2158.618,
1996-01,-41.420,
1996-04,-766.449,
1996-07,-631.425,
1996-10,-39.549,
1997-01,-125.085,
1997-04,425.659,
1997-07,2669.734,
1997-10,1475.820,
1998-01,1676.942,
1998-04,2330.475,
1998-07,76.344,
1998-10,870.463,
1999-01,2224.193,
1999-04,-1000.086,
1999-07,1065.204,
1999-10,16054.269,
2000-01,151627.647,
2000-04,11905.717,
2000-07,10612.225,
2000-10,-62621.313,
2001-01,16293.137,
2001-04,2719.571,
2001-07,-9247.083,
2001-10,3686.228,
2002-01,11403.609,
2002-04,7696.417,
2002-07,5629.550,
2002-10,6204.019,
2003-01,16232.485,
2003-04,-643.508,
2003-07,5610.969,
2003-10,22088.832,
2004-01,7583.868,
2004-04,-1584.584,
2004-07,5230.142,
2004-10,19266.690,
2005-01,5901.052,
2005-04,5251.485,
2005-07,3141.795,
2005-10,18371.803,
2006-01,4119.876,
2006-04,1818.029,
2006-07,1686.092,
2006-10,21758.312,
2007-01,9356.421,
2007-04,11642.301,
2007-07,14202.879,
2007-10,11217.636,
2008-01,8414.297,
2008-04,379.066,
2008-07,-3297.091,
2008-10,-2007.314,
2009-01,351.225,
2009-04,-3462.666,
2009-07,-2729.869,
2009-10,4315.913,
2010-01,3860.726,
2010-04,3347.162,
2010-07,6950.219,
2010-10,8351.177,
2011-01,1789.987,
2011-04,2462.228,
2011-07,6870.106,
2011-10,4404.795,
2012-01,3409.737,
2012-04,-1188.169,
2012-07,-2972.441,
2012-10,11860.013,
2013-01,2202.925,
2013-04,-3435.585,
2013-07,1393.648,
2013-10,5757.316,
2014-01,3222.336,
2014-04,513.489,
2014-07,4130.712,
