"",BBK01.OEXB16I,BBK01.OEXB16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:14,
2002-01,2.313,
2002-04,2.329,
2002-07,2.352,
2002-10,2.283,
2003-01,2.289,
2003-04,2.252,
2003-07,1.639,
2003-10,1.655,
2004-01,1.645,
2004-04,1.666,
2004-07,1.666,
2004-10,1.693,
2005-01,1.683,
2005-04,1.697,
2005-07,1.543,
2005-10,1.586,
2006-01,1.695,
2006-04,1.669,
2006-07,1.159,
2006-10,1.544,
2007-01,1.500,
2007-04,1.514,
2007-07,1.506,
2007-10,1.422,
2008-01,1.563,
2008-04,1.635,
2008-07,1.650,
2008-10,1.752,
2009-01,1.832,
2009-04,1.874,
2009-07,1.876,
2009-10,1.961,
2010-01,1.955,
2010-04,1.938,
2010-07,1.712,
2010-10,1.744,
2011-01,1.779,
2011-04,1.804,
2011-07,1.837,
2011-10,1.840,
2012-01,1.873,
2012-04,1.889,
2012-07,1.913,
2012-10,1.912,
2013-01,1.921,
2013-04,1.939,
2013-07,1.968,
2013-10,1.981,
2014-01,2.007,
2014-04,2.035,
2014-07,2.043,
