"",BBK01.OEAH34N,BBK01.OEAH34N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:23,
2002-01,0.284,
2002-04,0.261,
2002-07,0.286,
2002-10,0.270,
2003-01,0.287,
2003-04,0.306,
2003-07,0.311,
2003-10,0.349,
2004-01,0.363,
2004-04,0.376,
2004-07,0.384,
2004-10,0.292,
2005-01,0.367,
2005-04,0.375,
2005-07,0.336,
2005-10,0.537,
2006-01,0.662,
2006-04,0.756,
2006-07,0.901,
2006-10,0.907,
2007-01,1.052,
2007-04,1.225,
2007-07,1.190,
2007-10,1.477,
2008-01,1.424,
2008-04,1.625,
2008-07,2.260,
2008-10,2.023,
2009-01,2.267,
2009-04,2.487,
2009-07,2.009,
2009-10,2.266,
2010-01,2.284,
2010-04,2.137,
2010-07,2.152,
2010-10,1.985,
2011-01,2.019,
2011-04,2.027,
2011-07,2.128,
2011-10,2.334,
2012-01,2.593,
2012-04,2.649,
2012-07,2.642,
2012-10,2.352,
2013-01,2.545,
2013-04,2.840,
2013-07,2.066,
2013-10,2.135,
2014-01,2.004,
2014-04,2.193,
2014-07,2.054,
