"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:36,
1991-01,59.394,
1991-04,44.992,
1991-07,47.635,
1991-10,64.606,
1992-01,50.418,
1992-04,59.635,
1992-07,58.352,
1992-10,47.195,
1993-01,91.028,
1993-04,78.830,
1993-07,90.843,
1993-10,79.661,
1994-01,84.045,
1994-04,94.437,
1994-07,87.232,
1994-10,92.079,
1995-01,-2.338,
1995-04,0.582,
1995-07,-7.154,
1995-10,0.352,
1996-01,107.273,
1996-04,104.322,
1996-07,100.355,
1996-10,95.460,
1997-01,80.389,
1997-04,71.166,
1997-07,84.855,
1997-10,38.762,
1998-01,51.117,
1998-04,44.973,
1998-07,50.652,
1998-10,50.815,
1999-01,215.582,
1999-04,217.967,
1999-07,176.153,
1999-10,206.427,
2000-01,-126.000,
2000-04,-135.607,
2000-07,-137.703,
2000-10,-126.197,
2001-01,-1559.359,
2001-04,43.856,
2001-07,207.431,
2001-10,138.161,
2002-01,63.125,
2002-04,91.319,
2002-07,30.063,
2002-10,-47.260,
2003-01,127.435,
2003-04,81.751,
2003-07,-247.987,
2003-10,-384.770,
2004-01,190.245,
2004-04,47.635,
2004-07,202.033,
2004-10,169.660,
2005-01,430.163,
2005-04,-36.773,
2005-07,472.119,
2005-10,17.602,
2006-01,568.474,
2006-04,290.303,
2006-07,552.300,
2006-10,285.236,
2007-01,617.792,
2007-04,564.505,
2007-07,544.006,
2007-10,-23.745,
2008-01,686.890,
2008-04,-581.103,
2008-07,-365.863,
2008-10,177.246,
2009-01,834.483,
2009-04,669.543,
2009-07,1092.944,
2009-10,702.945,
2010-01,511.272,
2010-04,-45.729,
2010-07,407.227,
2010-10,285.607,
2011-01,723.759,
2011-04,317.282,
2011-07,125.532,
2011-10,423.342,
2012-01,807.171,
2012-04,13.414,
2012-07,422.552,
2012-10,588.069,
2013-01,472.071,
2013-04,31.047,
2013-07,285.116,
2013-10,128.423,
2014-01,443.571,Provisional value
2014-04,-146.311,Provisional value
2014-07,510.011,Provisional value
2014-10,512.824,Provisional value
