"",BBK01.OEHJ01U,BBK01.OEHJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:18,
2002-01,1.110,
2002-04,1.109,
2002-07,1.113,
2002-10,1.201,
2003-01,1.125,
2003-04,1.121,
2003-07,1.113,
2003-10,1.126,
2004-01,1.099,
2004-04,1.070,
2004-07,1.121,
2004-10,1.201,
2005-01,1.134,
2005-04,1.188,
2005-07,1.213,
2005-10,1.300,
2006-01,1.229,
2006-04,1.212,
2006-07,1.276,
2006-10,1.326,
2007-01,1.269,
2007-04,1.300,
2007-07,1.330,
2007-10,1.375,
2008-01,1.340,
2008-04,1.352,
2008-07,1.427,
2008-10,1.503,
2009-01,1.473,
2009-04,1.443,
2009-07,1.472,
2009-10,1.584,
2010-01,1.482,
2010-04,1.491,
2010-07,1.579,
2010-10,1.606,
2011-01,1.532,
2011-04,1.514,
2011-07,1.635,
2011-10,1.740,
2012-01,1.637,
2012-04,1.651,
2012-07,1.718,
2012-10,1.769,
2013-01,1.662,
2013-04,1.666,
2013-07,1.719,
2013-10,1.782,
2014-01,1.683,
2014-04,1.697,
2014-07,1.828,
