"",BBK01.OEHB11L,BBK01.OEHB11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:48,
2002-01,1.173,
2002-04,1.157,
2002-07,1.132,
2002-10,1.099,
2003-01,1.059,
2003-04,1.037,
2003-07,1.085,
2003-10,1.094,
2004-01,1.085,
2004-04,1.042,
2004-07,1.094,
2004-10,1.039,
2005-01,1.023,
2005-04,0.984,
2005-07,0.918,
2005-10,0.877,
2006-01,0.863,
2006-04,0.872,
2006-07,0.838,
2006-10,0.849,
2007-01,0.802,
2007-04,0.815,
2007-07,0.848,
2007-10,0.924,
2008-01,0.986,
2008-04,1.032,
2008-07,1.106,
2008-10,1.226,
2009-01,1.292,
2009-04,1.411,
2009-07,1.518,
2009-10,1.651,
2010-01,1.635,
2010-04,1.754,
2010-07,1.784,
2010-10,1.748,
2011-01,1.790,
2011-04,1.801,
2011-07,1.890,
2011-10,1.922,
2012-01,1.888,
2012-04,1.875,
2012-07,1.956,
2012-10,1.986,
2013-01,1.949,
2013-04,1.923,
2013-07,1.935,
2013-10,1.884,
2014-01,1.835,
2014-04,1.734,
2014-07,1.699,
