"",BBK01.OEAC32U,BBK01.OEAC32U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:04,
2002-01,0.152,
2002-04,0.152,
2002-07,0.168,
2002-10,0.174,
2003-01,0.168,
2003-04,0.170,
2003-07,0.163,
2003-10,0.164,
2004-01,0.162,
2004-04,0.154,
2004-07,0.161,
2004-10,0.167,
2005-01,0.177,
2005-04,0.178,
2005-07,0.176,
2005-10,0.180,
2006-01,0.189,
2006-04,0.183,
2006-07,0.191,
2006-10,0.190,
2007-01,0.187,
2007-04,0.188,
2007-07,0.185,
2007-10,0.188,
2008-01,0.189,
2008-04,0.196,
2008-07,0.195,
2008-10,0.197,
2009-01,0.204,
2009-04,0.195,
2009-07,0.195,
2009-10,0.213,
2010-01,0.203,
2010-04,0.194,
2010-07,0.197,
2010-10,0.202,
2011-01,0.204,
2011-04,0.202,
2011-07,0.209,
2011-10,0.219,
2012-01,0.242,
2012-04,0.234,
2012-07,0.261,
2012-10,0.243,
2013-01,0.248,
2013-04,0.239,
2013-07,0.236,
2013-10,0.235,
2014-01,0.222,
2014-04,0.215,
2014-07,0.211,
