"",BBEX3.M.HKD.USD.CA.AA.A01,BBEX3.M.HKD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Hong Kong / USD 1 = HKD ... (buying),
unit,HKD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:45,
1998-01,7.73750,
1998-02,7.72700,
1998-03,7.73700,
1998-04,7.74000,
1998-05,7.73900,
1998-06,7.73900,
1998-07,7.73750,
1998-08,7.73700,
1998-09,7.73850,
1998-10,7.73900,
1998-11,7.73300,
1998-12,7.73650,
1999-01,7.73850,
1999-02,7.73850,
1999-03,7.74000,
1999-04,7.74100,
1999-05,7.74500,
1999-06,7.74850,
1999-07,7.75200,
1999-08,7.75550,
1999-09,7.75800,
1999-10,7.76100,
1999-11,7.76350,
1999-12,7.76250,
2000-01,7.76950,
2000-02,7.77150,
2000-03,7.77600,
2000-04,7.77650,
2000-05,7.78150,
2000-06,7.78450,
2000-07,7.78750,
2000-08,7.78750,
2000-09,7.78400,
2000-10,7.78850,
2000-11,7.78900,
2000-12,7.78700,
2001-01,7.78800,
2001-02,7.78850,
2001-03,7.78700,
2001-04,7.78650,
2001-05,7.78850,
2001-06,7.78700,
2001-07,7.78800,
2001-08,7.78800,
2001-09,7.78650,
2001-10,7.78800,
2001-11,7.78650,
2001-12,7.78600,
2002-01,7.78750,
2002-02,7.78750,
2002-03,7.78800,
2002-04,7.78750,
2002-05,7.78800,
2002-06,7.78750,
2002-07,7.78800,
2002-08,7.78700,
2002-09,7.78800,
2002-10,7.78750,
2002-11,7.78600,
2002-12,7.78650,
2003-01,7.78750,
2003-02,7.78700,
2003-03,7.78700,
2003-04,7.78700,
2003-05,7.78600,
2003-06,7.78600,
2003-07,7.78750,
2003-08,7.78750,
2003-09,7.73050,
2003-10,7.75350,
2003-11,7.75350,
2003-12,7.75200,
2004-01,7.76150,
2004-02,7.76900,
2004-03,7.77900,
2004-04,7.78800,
2004-05,7.78100,
2004-06,7.78850,
2004-07,7.78800,
2004-08,7.78750,
2004-09,7.78650,
2004-10,7.76750,
2004-11,7.76450,
2004-12,7.76350,
2005-01,7.78800,
2005-02,7.78750,
2005-03,7.78750,
2005-04,7.78500,
2005-05,7.76650,
2005-06,7.76000,
2005-07,7.76150,
2005-08,7.75950,
2005-09,7.74500,
2005-10,7.74000,
2005-11,7.74200,
2005-12,7.74100,
2006-01,7.74400,
2006-02,7.74650,
2006-03,7.74800,
2006-04,7.74200,
2006-05,7.74650,
2006-06,7.75600,
2006-07,7.76000,
2006-08,7.76600,
2006-09,7.78050,
2006-10,7.76450,
2006-11,7.76400,
2006-12,7.76500,
2007-01,7.79450,
2007-02,7.79800,
2007-03,7.80250,
2007-04,7.80900,
2007-05,7.79700,
2007-06,7.80450,
2007-07,7.81300,
2007-08,7.78500,
2007-09,7.74650,
2007-10,7.73800,
2007-11,7.77850,
2007-12,7.78850,
2008-01,7.78700,
2008-02,7.77000,
2008-03,7.77150,
2008-04,7.78150,
2008-05,7.79200,
2008-06,7.78650,
2008-07,7.79000,
2008-08,7.79500,
2008-09,7.75400,
2008-10,7.73850,
2008-11,7.73800,
2008-12,7.73800,
2009-01,7.74400,
2009-02,7.74200,
2009-03,7.73800,
2009-04,7.73800,
2009-05,7.73900,
2009-06,7.73800,
2009-07,7.73800,
2009-08,7.73850,
2009-09,7.74090,
2009-10,7.73800,
2009-11,7.73800,
2009-12,7.74200,
2010-01,7.75600,
2010-02,7.75000,
2010-03,7.74650,comment
2010-04,7.75300,
2010-05,7.77950,
2010-06,7.77200,
2010-07,7.75500,
2010-08,7.76850,
2010-09,7.74700,
2010-10,7.74450,
2010-11,7.75400,
2010-12,7.76100,
2011-01,7.78300,
2011-02,7.77950,
2011-03,7.77500,
2011-04,7.76050,
2011-05,7.76650,
2011-06,7.77050,
2011-07,7.78150,
2011-08,7.78450,
2011-09,7.77960,
2011-10,7.75420,
2011-11,7.77680,
2011-12,7.75610,
2012-01,7.74360,
2012-02,7.74210,
2012-03,7.75130,
2012-04,7.74590,
2012-05,7.75150,
2012-06,7.74400,
2012-07,7.74180,
2012-08,7.74300,
2012-09,7.74440,
2012-10,7.74040,
2012-11,7.73892,
2012-12,7.73962,
2013-01,7.74612,
2013-02,7.74450,
2013-03,7.74700,
2013-04,7.74910,
2013-05,7.75180,
2013-06,7.74480,
2013-07,7.74320,
2013-08,7.74330,
2013-09,7.74220,
2013-10,7.74130,
2013-11,7.74100,
2013-12,7.73070,
2014-01,7.75490,
2014-02,7.74950,
2014-03,7.74510,
2014-04,7.74060,
2014-05,7.74040,
2014-06,7.73850,
2014-07,7.72680,
2014-08,7.73760,
2014-09,7.75090,
2014-10,7.74300,
2014-11,7.74050,
2014-12,7.73110,
2015-01,7.73840,
"","Source: The Hongkong and Shanghai Banking Corporation Ltd., Hong Kong.",
"",Comment on 2010-03: Exchange rate as of 1 April 2010.,
