"",BBK01.OEHL08L,BBK01.OEHL08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:16,
2002-01,17.225,
2002-04,16.884,
2002-07,16.470,
2002-10,16.828,
2003-01,16.757,
2003-04,16.846,
2003-07,16.819,
2003-10,17.153,
2004-01,17.204,
2004-04,17.281,
2004-07,17.224,
2004-10,17.585,
2005-01,17.794,
2005-04,17.639,
2005-07,17.456,
2005-10,17.763,
2006-01,17.639,
2006-04,17.399,
2006-07,16.900,
2006-10,16.469,
2007-01,15.509,
2007-04,14.835,
2007-07,14.309,
2007-10,14.005,
2008-01,13.611,
2008-04,13.279,
2008-07,12.826,
2008-10,12.918,
2009-01,13.242,
2009-04,13.542,
2009-07,13.769,
2009-10,13.985,
2010-01,14.236,
2010-04,14.735,
2010-07,15.090,
2010-10,15.653,
2011-01,15.941,
2011-04,15.969,
2011-07,15.836,
2011-10,15.955,
2012-01,15.815,
2012-04,15.830,
2012-07,15.923,
2012-10,16.088,
2013-01,16.217,
2013-04,16.257,
2013-07,16.309,
2013-10,16.383,
2014-01,15.978,
2014-04,15.615,
2014-07,15.418,
