"",BBK01.OECL04M,BBK01.OECL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:40,
2002-01,0.651,
2002-04,0.614,
2002-07,0.608,
2002-10,0.624,
2003-01,0.583,
2003-04,0.533,
2003-07,0.478,
2003-10,0.492,
2004-01,0.437,
2004-04,0.403,
2004-07,0.363,
2004-10,0.524,
2005-01,0.624,
2005-04,0.626,
2005-07,0.600,
2005-10,0.666,
2006-01,0.648,
2006-04,0.648,
2006-07,0.699,
2006-10,0.786,
2007-01,0.869,
2007-04,0.919,
2007-07,1.116,
2007-10,1.435,
2008-01,1.573,
2008-04,1.809,
2008-07,2.264,
2008-10,2.364,
2009-01,2.084,
2009-04,1.912,
2009-07,1.403,
2009-10,0.972,
2010-01,0.592,
2010-04,0.522,
2010-07,0.411,
2010-10,0.353,
2011-01,0.309,
2011-04,0.334,
2011-07,0.294,
2011-10,0.491,
2012-01,0.536,
2012-04,0.534,
2012-07,0.514,
2012-10,0.338,
2013-01,0.238,
2013-04,0.229,
2013-07,0.196,
2013-10,0.166,
2014-01,0.181,
2014-04,0.185,
2014-07,0.216,
