"",BBFN1.M.DE.N.1.L.IL.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IL.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Israel,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:37,
1994-07,0.067,
1994-08,0.073,
1994-09,0.078,
1994-10,0.085,
1994-11,0.089,
1994-12,0.097,
1995-01,0.094,
1995-02,0.090,
1995-03,0.087,
1995-04,0.092,
1995-05,0.125,
1995-06,0.123,
1995-07,0.156,
1995-08,0.155,
1995-09,0.153,
1995-10,0.156,
1995-11,0.160,
1995-12,0.151,
1996-01,0.148,
1996-02,0.156,
1996-03,0.148,
1996-04,0.155,
1996-05,0.152,
1996-06,0.145,
1996-07,0.136,
1996-08,0.140,
1996-09,0.143,
1996-10,0.159,
1996-11,0.146,
1996-12,0.120,
1997-01,0.119,
1997-02,0.114,
1997-03,0.119,
1997-04,0.103,
1997-05,0.108,
1997-06,0.111,
1997-07,0.111,
1997-08,0.127,
1997-09,0.130,
1997-10,0.114,
1997-11,0.130,
1997-12,0.138,
1998-01,0.122,
1998-02,0.119,
1998-03,0.126,
1998-04,0.123,
1998-05,0.125,
1998-06,0.141,
1998-07,0.133,
1998-08,0.121,
1998-09,0.133,
1998-10,0.138,
1998-11,0.147,
1998-12,0.153,
1999-01,0.145,
1999-02,0.139,
1999-03,0.146,
1999-04,0.150,
1999-05,0.156,
1999-06,0.163,
1999-07,0.168,
1999-08,0.157,
1999-09,0.135,
1999-10,0.140,
1999-11,0.151,
1999-12,0.166,
2000-01,0.163,
2000-02,0.160,
2000-03,0.175,
2000-04,0.182,
2000-05,0.180,
2000-06,0.197,
2000-07,0.190,
2000-08,0.195,
2000-09,0.200,
2000-10,0.258,
2000-11,0.266,
2000-12,0.300,
2001-01,0.272,
2001-02,0.259,
2001-03,0.258,
2001-04,0.226,
2001-05,0.227,
2001-06,0.243,
2001-07,0.251,
2001-08,0.224,
2001-09,0.211,
2001-10,0.211,
2001-11,0.214,
2001-12,0.201,
2002-01,0.182,
2002-02,0.175,
2002-03,0.188,
2002-04,0.182,
2002-05,0.175,
2002-06,0.186,
2002-07,0.192,
2002-08,0.197,
2002-09,0.224,
2002-10,0.203,
2002-11,0.229,
2002-12,0.271,
2003-01,0.240,
2003-02,0.225,
2003-03,0.248,
2003-04,0.236,
2003-05,0.240,
2003-06,0.245,
2003-07,0.253,
2003-08,0.245,
2003-09,0.255,
2003-10,0.249,
2003-11,0.241,
2003-12,0.260,
2004-01,0.246,
2004-02,0.234,
2004-03,0.239,
2004-04,0.245,
2004-05,0.233,
2004-06,0.257,
2004-07,0.253,
2004-08,0.235,
2004-09,0.235,
2004-10,0.226,
2004-11,0.205,
2004-12,0.242,
2005-01,0.224,
2005-02,0.228,
2005-03,0.245,
2005-04,0.214,
2005-05,0.200,
2005-06,0.190,
2005-07,0.115,
2005-08,0.126,
2005-09,0.180,
2005-10,0.174,
2005-11,0.206,
2005-12,0.230,
2006-01,0.187,
2006-02,0.197,
2006-03,0.204,
2006-04,0.185,
2006-05,0.140,
2006-06,0.145,
2006-07,0.168,
2006-08,0.157,
2006-09,0.172,
2006-10,0.140,
2006-11,0.164,
2006-12,0.176,
2007-01,0.133,
2007-02,0.164,
2007-03,0.173,
2007-04,0.152,
2007-05,0.142,
2007-06,0.156,
2007-07,0.167,
2007-08,0.161,
2007-09,0.148,
2007-10,0.169,
2007-11,0.173,
2007-12,0.215,
2008-01,0.155,
2008-02,0.133,
2008-03,0.148,
2008-04,0.120,
2008-05,0.131,
2008-06,0.148,
2008-07,0.139,
2008-08,0.139,
2008-09,0.153,
2008-10,0.146,
2008-11,0.163,
2008-12,0.182,
2009-01,0.152,
2009-02,0.153,
2009-03,0.157,
2009-04,0.134,
2009-05,0.121,
2009-06,0.143,
2009-07,0.133,
2009-08,0.126,
2009-09,0.145,
2009-10,0.134,
2009-11,0.141,
2009-12,0.160,
2010-01,0.136,
2010-02,0.146,
2010-03,0.154,
2010-04,0.141,
2010-05,0.142,
2010-06,0.177,
2010-07,0.176,
2010-08,0.156,
2010-09,0.181,
2010-10,0.168,
2010-11,0.156,
2010-12,0.180,
2011-01,0.159,
2011-02,0.156,
2011-03,0.173,
2011-04,0.145,
2011-05,0.139,
2011-06,0.157,
2011-07,0.155,
2011-08,0.140,
2011-09,0.188,
2011-10,0.154,
2011-11,0.176,
2011-12,0.196,
2012-01,0.171,
2012-02,0.166,
2012-03,0.181,
2012-04,0.157,
2012-05,0.162,
2012-06,0.202,
2012-07,0.193,
2012-08,0.186,
2012-09,0.223,
2012-10,0.211,
2012-11,0.203,
2012-12,0.244,
2013-01,0.213,
2013-02,0.200,
2013-03,0.210,
2013-04,0.183,
2013-05,0.206,
2013-06,0.213,
2013-07,0.209,
2013-08,0.193,
2013-09,0.223,
2013-10,0.219,
2013-11,0.245,
2013-12,0.277,
2014-01,0.253,
2014-02,0.274,
2014-03,0.264,
2014-04,0.277,
2014-05,0.284,
2014-06,0.270,
2014-07,0.294,
2014-08,0.248,
2014-09,0.278,
2014-10,0.255,
2014-11,0.226,
2014-12,0.267,
