"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.AT.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.AT.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Austria / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:36,
2009-09,4344,
2009-10,4275,
2009-11,4222,
2009-12,4177,
2010-01,4008,
2010-02,3914,
2010-03,3997,
2010-04,3938,
2010-05,3854,
2010-06,3905,
2010-07,3876,
2010-08,3995,
2010-09,4017,
2010-10,4062,
2010-11,4129,
2010-12,4060,
2011-01,4176,
2011-02,4263,
2011-03,4035,
2011-04,3997,
2011-05,3956,
2011-06,3848,
2011-07,3943,
2011-08,3998,
2011-09,4043,
2011-10,3998,
2011-11,3844,
2011-12,3881,
2012-01,3675,
2012-02,4032,
2012-03,4116,
2012-04,4238,
2012-05,4442,
2012-06,4515,
2012-07,4640,
2012-08,4680,
2012-09,4866,
2012-10,4978,
2012-11,4991,
2012-12,5061,
2013-01,5029,
2013-02,5117,
2013-03,5199,
2013-04,5476,
2013-05,5450,
2013-06,5286,
2013-07,5214,
2013-08,5177,
2013-09,5012,
2013-10,5193,
2013-11,5284,
2013-12,5329,
2014-01,5370,
2014-02,5213,
2014-03,5066,
2014-04,5168,
2014-05,5380,
2014-06,5216,
2014-07,5134,
2014-08,5162,
2014-09,5262,
2014-10,5298,
2014-11,5030,
