"",BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:10,
1991-01,3563.837,
1991-04,-1134.516,
1991-07,-147.720,
1991-10,515.946,
1992-01,2134.618,
1992-04,-1687.624,
1992-07,3220.635,
1992-10,2734.178,
1993-01,2155.863,
1993-04,1290.857,
1993-07,-5.097,
1993-10,4461.028,
1994-01,-3945.097,
1994-04,2694.592,
1994-07,-1241.122,
1994-10,303.085,
1995-01,-813.960,
1995-04,3945.781,
1995-07,4489.602,
1995-10,-1962.052,
1996-01,-2181.475,
1996-04,-990.816,
1996-07,3709.592,
1996-10,2385.409,
1997-01,6428.899,
1997-04,2583.253,
1997-07,3122.844,
1997-10,7371.607,
1998-01,42.366,
1998-04,6134.402,
1998-07,6249.772,
1998-10,1304.695,
1999-01,219.796,
1999-04,2721.914,
1999-07,4682.923,
1999-10,1458.396,
2000-01,6524.314,
2000-04,4611.339,
2000-07,825.169,
2000-10,25011.882,
2001-01,6152.100,
2001-04,6559.644,
2001-07,4910.187,
2001-10,-354.605,
2002-01,9970.169,
2002-04,6302.304,
2002-07,9661.558,
2002-10,-1196.435,
2003-01,14719.635,
2003-04,8262.355,
2003-07,-5295.618,
2003-10,333.556,
2004-01,183.709,
2004-04,-2486.434,
2004-07,2419.095,
2004-10,-425.996,
2005-01,9311.624,
2005-04,9036.038,
2005-07,6692.315,
2005-10,9507.341,
2006-01,-12961.172,
2006-04,10709.451,
2006-07,4529.343,
2006-10,15338.134,
2007-01,-1694.358,
2007-04,12789.964,
2007-07,43771.020,
2007-10,36975.388,
2008-01,17047.520,
2008-04,-16232.911,
2008-07,17403.127,
2008-10,-10715.171,
2009-01,-15410.883,
2009-04,13251.877,
2009-07,-21132.027,
2009-10,-8214.074,
2010-01,-15403.571,
2010-04,4408.746,
2010-07,-17301.569,
2010-10,5793.556,
2011-01,-11009.697,
2011-04,10397.893,
2011-07,14195.113,
2011-10,-6141.978,
2012-01,5994.016,
2012-04,-12729.128,
2012-07,145.293,
2012-10,9536.662,
2013-01,-9948.231,
2013-04,-8032.848,
2013-07,-12314.188,
2013-10,-4258.556,
2014-01,10451.501,Provisional value
2014-04,20464.107,Provisional value
2014-07,8813.599,Provisional value
2014-10,48091.270,Provisional value
