"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:00,
1999-10,217793,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,259922,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,311776,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,276991,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,284549,
2004-01,303852,
2004-04,302389,
2004-07,318157,
2004-10,305136,
2005-01,311354,
2005-04,322232,
2005-07,322999,
2005-10,297149,
2006-01,297922,
2006-04,297233,
2006-07,287073,
2006-10,299966,
2007-01,308426,
2007-04,317827,
2007-07,343582,
2007-10,363259,
2008-01,373891,
2008-04,365680,
2008-07,413748,
2008-10,330681,
2009-01,317948,
2009-04,331626,
2009-07,312022,
2009-10,262133,
2010-01,288686,
2010-04,317265,
2010-07,272528,
2010-10,216094,
2011-01,225821,
2011-04,214560,
2011-07,210223,
2011-10,168530,
2012-01,193713,
2012-04,187638,
2012-07,223479,
2012-10,254818,
2013-01,261083,
2013-04,229456,
2013-07,245175,
2013-10,258828,
2014-01,269390,
2014-04,271586,
2014-07,282476,
