"",BBK01.CEFK20,BBK01.CEFK20_FLAGS
"",Other equity                                            debtor: Domestic financial corporations   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:15,
1999-01,118.5,
1999-04,120.8,
1999-07,122.7,
1999-10,125.8,
2000-01,131.4,
2000-04,134.6,
2000-07,135.6,
2000-10,137.2,
2001-01,135.9,
2001-04,139.0,
2001-07,140.1,
2001-10,145.2,
2002-01,146.3,
2002-04,148.5,
2002-07,156.0,
2002-10,156.8,
2003-01,149.8,
2003-04,152.5,
2003-07,154.0,
2003-10,147.6,
2004-01,145.3,
2004-04,148.8,
2004-07,149.3,
2004-10,148.9,
2005-01,149.9,
2005-04,154.4,
2005-07,158.2,
2005-10,159.6,
2006-01,175.9,
2006-04,179.5,
2006-07,181.8,
2006-10,181.3,
2007-01,175.8,
2007-04,179.3,
2007-07,185.2,
2007-10,184.3,
2008-01,188.2,
2008-04,190.1,
2008-07,190.7,
2008-10,194.6,
2009-01,199.7,
2009-04,202.5,
2009-07,203.3,
2009-10,204.8,
2010-01,204.4,
2010-04,202.8,
2010-07,203.8,
2010-10,205.9,
2011-01,208.3,
2011-04,211.7,
2011-07,213.8,
2011-10,214.7,
2012-01,215.8,
2012-04,219.8,
2012-07,222.5,
2012-10,238.3,
2013-01,240.5,
2013-04,240.2,
2013-07,239.2,
2013-10,238.4,
2014-01,238.6,
2014-04,239.8,
2014-07,240.6,
