"",BBEX3.M.JMD.USD.CA.AC.A01,BBEX3.M.JMD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Jamaica / USD 1 = JMD ... (middle),
unit,JMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:12,
1990-01,6.95000,
1990-02,6.95000,
1990-03,6.95000,
1990-04,6.95000,
1990-05,6.95000,
1990-06,6.95000,
1990-07,6.95000,
1990-08,6.95000,
1990-09,7.91895,
1990-10,7.93910,
1990-11,8.01055,
1990-12,8.01235,
1991-01,8.08055,
1991-02,8.17940,
1991-03,8.30565,
1991-04,8.54585,
1991-05,9.10125,
1991-06,10.12490,
1991-07,10.21800,
1991-08,11.72240,
1991-09,16.12000,
1991-10,18.08000,
1991-11,18.28500,
1991-12,19.09500,
1992-01,20.40150,
1992-02,21.60750,
1992-03,24.62250,
1992-04,24.50705,
1992-05,22.93710,
1992-06,22.31000,
1992-07,22.17500,
1992-08,22.17500,
1992-09,22.17500,
1992-10,22.17500,
1992-11,22.17500,
1992-12,22.18500,
1993-01,22.19000,
1993-02,22.19000,
1993-03,22.19000,
1993-04,22.19000,
1993-05,22.19000,
1993-06,23.92815,
1993-07,24.78450,
1993-08,25.64085,
1993-09,27.70625,
1993-10,27.70625,
1993-11,29.21750,
1993-12,29.21750,
1994-01,31.33325,
1994-02,31.33325,
1994-03,31.33325,
1994-04,31.33325,
1994-05,31.33325,
1994-06,32.29035,
1994-07,32.64300,
1994-08,32.64300,
1994-09,32.64300,
1994-10,32.64300,
1994-11,32.64300,
1994-12,32.64300,
1995-01,32.64300,
1995-02,32.64300,
1995-03,32.94525,
1995-04,32.94525,
1995-05,33.14675,
1995-06,33.24750,
1995-07,33.44900,
1995-08,34.20465,
1995-09,36.27000,
1995-10,36.82500,
1995-11,39.06000,
1995-12,39.06000,
1996-01,38.84000,
1996-02,38.84000,
1996-03,38.84000,
1996-04,38.84000,
1996-05,38.18500,
1996-06,35.26500,
1996-07,35.26500,
1996-08,34.71000,
1996-09,34.86000,
1996-10,34.86000,
1996-11,34.86000,
1996-12,34.86000,
1997-01,34.62500,
1997-02,34.76000,
1997-03,34.76000,
1997-04,35.17500,
1997-05,35.02500,
1997-06,35.16000,
1997-07,35.16000,
1997-08,35.34000,
1997-09,35.68000,
1997-10,35.68000,
1997-11,35.68000,
1997-12,35.82000,
1998-01,35.82000,
1998-02,35.82000,
1998-03,35.82000,
1998-04,35.82000,
1998-05,35.82000,
1998-06,35.82000,
1998-07,35.82000,
1998-08,35.82000,
1998-09,36.27500,
1998-10,36.52500,
1998-11,36.52500,
1998-12,36.52500,
1999-01,36.52500,
1999-02,36.78500,
1999-03,36.97500,
1999-04,36.97500,
1999-05,37.22500,
1999-06,37.58000,
1999-07,38.30000,
1999-08,38.30000,
1999-09,38.85000,
1999-10,39.17500,
1999-11,40.10000,
1999-12,40.10000,
2000-01,42.01075,
2000-02,41.89215,
2000-03,42.07240,
2000-04,42.02315,
2000-05,42.15460,
2000-06,42.29775,
2000-07,42.48700,
2000-08,43.11855,
2000-09,44.61140,
2000-10,44.55085,
2000-11,45.32615,
2000-12,45.41485,
2001-01,45.63820,
2001-02,45.65445,
2001-03,45.60770,
2001-04,45.54185,
2001-05,45.72610,
2001-06,45.75850,
2001-07,45.65720,
2001-08,45.72485,
2001-09,45.89440,
2001-10,47.48630,
2001-11,47.15050,
2001-12,47.28600,
2002-01,47.44355,
2002-02,47.44635,
2002-03,47.54290,
2002-04,45.54185,
2002-05,48.22950,
2002-06,48.48370,
2002-07,48.58995,
2002-08,48.95650,
2002-09,49.16500,
2002-10,49.37000,
2002-11,49.86000,
2002-12,50.76000,
2003-01,52.85500,
2003-02,53.62000,
2003-03,56.08000,
2003-04,56.99000,
2003-05,59.25000,
2003-06,58.78500,
2003-07,59.04500,
2003-08,59.23000,
2003-09,59.60500,
2003-10,60.26000,
2003-11,60.55500,
2003-12,60.52000,
2004-01,60.60000,
2004-02,60.84500,
2004-03,60.90000,
2004-04,60.57500,
2004-05,60.78500,
2004-06,61.01000,
2004-07,61.58500,
2004-08,61.68500,
2004-09,61.77500,
2004-10,61.77000,
2004-11,61.80500,
2004-12,61.45000,
2005-01,61.73000,
2005-02,61.74500,
2005-03,61.37000,
2005-04,61.50500,
2005-05,61.58000,
2005-06,61.66500,
2005-07,62.14500,
2005-08,62.08500,
2005-09,62.74500,
2005-10,63.93000,
2005-11,64.54500,
2005-12,64.38000,
2006-01,64.81500,
2006-02,65.21000,
2006-03,65.38000,
2006-04,65.51000,
2006-05,65.63000,
2006-06,65.90000,
2006-07,65.86000,
2006-08,65.86500,
2006-09,65.97500,
2006-10,66.41000,
2006-11,66.80500,
2006-12,67.03500,
2007-01,67.44500,
2007-02,67.41000,
2007-03,67.68000,
2007-04,67.95500,
2007-05,68.10000,
2007-06,68.42500,
2007-07,68.76500,
2007-08,69.69500,
2007-09,70.26500,
2007-10,71.04500,
2007-11,71.20500,
2007-12,70.40000,
2008-01,71.59295,
2008-02,71.23455,
2008-03,70.94130,
2008-04,71.21625,
2008-05,71.38765,
2008-06,71.71325,
2008-07,71.85165,
2008-08,71.90235,
