"",BBK01.OELB11S,BBK01.OELB11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:23,
2002-01,0.036,
2002-04,0.035,
2002-07,0.032,
2002-10,0.033,
2003-01,0.026,
2003-04,0.024,
2003-07,0.025,
2003-10,0.030,
2004-01,0.030,
2004-04,0.029,
2004-07,0.027,
2004-10,0.024,
2005-01,0.027,
2005-04,0.028,
2005-07,0.028,
2005-10,0.027,
2006-01,0.028,
2006-04,0.037,
2006-07,0.037,
2006-10,0.032,
2007-01,0.042,
2007-04,0.048,
2007-07,0.053,
2007-10,0.052,
2008-01,0.053,
2008-04,0.056,
2008-07,0.074,
2008-10,0.067,
2009-01,0.078,
2009-04,0.082,
2009-07,0.119,
2009-10,0.136,
2010-01,0.136,
2010-04,0.132,
2010-07,0.136,
2010-10,0.112,
2011-01,0.114,
2011-04,0.108,
2011-07,0.100,
2011-10,0.128,
2012-01,0.125,
2012-04,0.125,
2012-07,0.114,
2012-10,0.105,
2013-01,0.103,
2013-04,0.106,
2013-07,0.103,
2013-10,0.096,
2014-01,0.091,
2014-04,0.088,
2014-07,0.087,
