"",BBFB1.Q.N.DE.DK.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-11-12 14:24:12,
1991-01,357.937,
1991-04,354.303,
1991-07,346.670,
1991-10,342.059,
1992-01,287.974,
1992-04,307.249,
1992-07,301.611,
1992-10,307.149,
1993-01,291.767,
1993-04,286.285,
1993-07,249.180,
1993-10,251.090,
1994-01,284.592,
1994-04,295.426,
1994-07,280.002,
1994-10,298.773,
1995-01,317.643,
1995-04,326.927,
1995-07,307.999,
1995-10,331.694,
1996-01,205.311,
1996-04,187.522,
1996-07,301.730,
1996-10,194.506,
1997-01,212.564,
1997-04,198.627,
1997-07,199.241,
1997-10,222.375,
1998-01,262.248,
1998-04,218.783,
1998-07,267.665,
1998-10,269.484,
1999-01,286.870,
1999-04,319.313,
1999-07,271.112,
1999-10,327.985,
2000-01,242.229,
2000-04,444.571,
2000-07,242.759,
2000-10,274.791,
2001-01,342.993,
2001-04,347.319,
2001-07,357.076,
2001-10,343.765,
2002-01,341.026,
2002-04,347.541,
2002-07,343.140,
2002-10,344.823,
2003-01,349.711,
2003-04,358.268,
2003-07,333.745,
2003-10,332.377,
2004-01,338.419,
2004-04,316.288,
2004-07,331.247,
2004-10,329.850,
2005-01,370.754,
2005-04,351.642,
2005-07,362.198,
2005-10,412.574,
2006-01,510.421,
2006-04,546.330,
2006-07,573.116,
2006-10,620.847,
2007-01,748.284,
2007-04,730.387,
2007-07,717.525,
2007-10,708.213,
2008-01,851.729,
2008-04,737.925,
2008-07,674.716,
2008-10,664.321,
2009-01,550.383,
2009-04,510.985,
2009-07,504.701,
2009-10,493.351,
2010-01,669.635,
2010-04,794.029,
2010-07,672.164,
2010-10,663.920,
2011-01,754.357,
2011-04,700.353,
2011-07,686.136,
2011-10,664.146,
2012-01,713.207,
2012-04,671.949,
2012-07,670.119,
2012-10,665.837,
2013-01,677.704,
2013-04,622.986,
2013-07,605.651,
2013-10,667.977,
2014-01,643.423,
2014-04,742.667,
