"",BBK01.CELO0I,BBK01.CELO0I_FLAGS
"",Other deposits                                                 debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:17,
1999-01,1.0,
1999-04,-12.7,
1999-07,-8.8,
1999-10,0.8,
2000-01,-16.9,
2000-04,-13.4,
2000-07,-10.7,
2000-10,7.7,
2001-01,6.5,
2001-04,0.5,
2001-07,4.3,
2001-10,7.1,
2002-01,-3.9,
2002-04,-11.3,
2002-07,1.4,
2002-10,9.2,
2003-01,1.6,
2003-04,-6.8,
2003-07,-1.5,
2003-10,-0.5,
2004-01,0.6,
2004-04,-4.1,
2004-07,0.2,
2004-10,7.9,
2005-01,-1.2,
2005-04,-4.1,
2005-07,-3.4,
2005-10,2.4,
2006-01,6.9,
2006-04,1.3,
2006-07,8.5,
2006-10,6.1,
2007-01,8.5,
2007-04,4.0,
2007-07,14.2,
2007-10,21.1,
2008-01,11.4,
2008-04,12.8,
2008-07,13.2,
2008-10,37.1,
2009-01,-40.0,
2009-04,-20.1,
2009-07,-22.1,
2009-10,-17.0,
2010-01,-3.8,
2010-04,-3.8,
2010-07,-1.4,
2010-10,13.5,
2011-01,8.1,
2011-04,5.3,
2011-07,6.9,
2011-10,6.2,
2012-01,8.3,
2012-04,-3.4,
2012-07,-8.3,
2012-10,-12.7,
2013-01,-12.6,
2013-04,-12.2,
2013-07,-10.6,
2013-10,0.1,
2014-01,-1.1,
2014-04,-3.7,
2014-07,0.8,
