"",BBK01.OEYB01Q,BBK01.OEYB01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:04,
2002-01,53.448,
2002-04,52.565,
2002-07,49.217,
2002-10,50.435,
2003-01,49.727,
2003-04,57.518,
2003-07,58.134,
2003-10,58.482,
2004-01,57.230,
2004-04,44.235,
2004-07,43.051,
2004-10,45.294,
2005-01,44.563,
2005-04,47.656,
2005-07,49.024,
2005-10,47.082,
2006-01,51.498,
2006-04,54.854,
2006-07,50.232,
2006-10,51.341,
2007-01,60.750,
2007-04,55.139,
2007-07,46.005,
2007-10,47.623,
2008-01,43.400,
2008-04,45.514,
2008-07,44.730,
2008-10,44.174,
2009-01,43.612,
2009-04,44.474,
2009-07,45.345,
2009-10,55.756,
2010-01,54.756,
2010-04,55.374,
2010-07,42.700,
2010-10,43.028,
2011-01,42.845,
2011-04,38.838,
2011-07,30.829,
2011-10,32.746,
2012-01,35.196,
2012-04,37.246,
2012-07,38.859,
2012-10,41.773,
2013-01,38.989,
2013-04,35.539,
2013-07,34.810,
2013-10,42.896,
2014-01,40.542,
2014-04,40.122,
2014-07,40.428,
