"",BBFB1.Q.N.DE.S1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:41,
1991-01,3730.119,
1991-04,-1146.311,
1991-07,-68.390,
1991-10,3254.598,
1992-01,646.955,
1992-04,2175.388,
1992-07,-1903.222,
1992-10,4367.091,
1993-01,1892.354,
1993-04,1836.387,
1993-07,-1544.067,
1993-10,4629.349,
1994-01,-19.799,
1994-04,-786.565,
1994-07,3446.361,
1994-10,258.940,
1995-01,3155.869,
1995-04,4028.044,
1995-07,8104.298,
1995-10,3841.107,
1996-01,6406.187,
1996-04,7100.036,
1996-07,108.234,
1996-10,640.432,
1997-01,5842.560,
1997-04,2473.287,
1997-07,-1717.040,
1997-10,3177.437,
1998-01,-5722.091,
1998-04,1041.121,
1998-07,-3391.214,
1998-10,11641.745,
1999-01,-8160.393,
1999-04,-1516.786,
1999-07,3769.717,
1999-10,6072.218,
2000-01,6269.522,
2000-04,3347.807,
2000-07,3534.262,
2000-10,4242.005,
2001-01,-6105.720,
2001-04,6403.194,
2001-07,-4147.859,
2001-10,6214.762,
2002-01,4092.267,
2002-04,2204.154,
2002-07,1206.705,
2002-10,10015.969,
2003-01,-5433.043,
2003-04,16377.429,
2003-07,-1812.013,
2003-10,-4361.496,
2004-01,11400.911,
2004-04,5757.986,
2004-07,1108.931,
2004-10,588.565,
2005-01,-8574.138,
2005-04,10331.500,
2005-07,3002.737,
2005-10,1299.327,
2006-01,-4718.775,
2006-04,8321.265,
2006-07,-569.810,
2006-10,-2031.799,
2007-01,8107.263,
2007-04,7525.891,
2007-07,8170.799,
2007-10,3112.377,
2008-01,9949.412,
2008-04,12039.357,
2008-07,9241.637,
2008-10,-17943.631,
2009-01,-10958.028,
2009-04,-2346.446,
2009-07,3784.714,
2009-10,-146.485,
2010-01,6328.540,
2010-04,6603.602,
2010-07,9540.728,
2010-10,14324.746,
2011-01,-1441.303,
2011-04,4427.947,
2011-07,-4026.732,
2011-10,2750.134,
2012-01,1908.016,
2012-04,3276.519,
2012-07,-2343.318,
2012-10,-1546.918,
2013-01,10222.653,
2013-04,7600.682,
2013-07,57.853,
2013-10,14511.116,
2014-01,8401.824,Provisional value
2014-04,9012.500,Provisional value
2014-07,2832.520,Provisional value
2014-10,-12962.323,Provisional value
