"",BBK01.OEYB05O,BBK01.OEYB05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:40,
2002-01,39.787,
2002-04,40.265,
2002-07,41.334,
2002-10,41.781,
2003-01,43.831,
2003-04,41.046,
2003-07,36.331,
2003-10,40.405,
2004-01,39.942,
2004-04,40.600,
2004-07,40.525,
2004-10,42.632,
2005-01,42.031,
2005-04,42.468,
2005-07,42.604,
2005-10,42.281,
2006-01,42.893,
2006-04,42.378,
2006-07,42.587,
2006-10,42.373,
2007-01,41.938,
2007-04,41.989,
2007-07,42.454,
2007-10,41.377,
2008-01,40.913,
2008-04,40.544,
2008-07,34.507,
2008-10,33.370,
2009-01,31.784,
2009-04,31.176,
2009-07,31.060,
2009-10,33.214,
2010-01,32.585,
2010-04,32.591,
2010-07,32.942,
2010-10,32.705,
2011-01,32.206,
2011-04,32.305,
2011-07,32.278,
2011-10,31.506,
2012-01,32.173,
2012-04,32.621,
2012-07,31.676,
2012-10,31.622,
2013-01,30.528,
2013-04,29.688,
2013-07,35.575,
2013-10,35.585,
2014-01,36.128,
2014-04,35.482,
2014-07,34.873,
