"",BBK01.OEBB14G,BBK01.OEBB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:37,
2002-01,1.733,
2002-04,1.820,
2002-07,1.791,
2002-10,1.739,
2003-01,1.628,
2003-04,1.685,
2003-07,1.854,
2003-10,1.776,
2004-01,1.688,
2004-04,1.678,
2004-07,1.645,
2004-10,1.678,
2005-01,1.429,
2005-04,1.394,
2005-07,0.863,
2005-10,0.866,
2006-01,0.863,
2006-04,0.879,
2006-07,0.886,
2006-10,0.826,
2007-01,0.809,
2007-04,0.779,
2007-07,0.766,
2007-10,0.801,
2008-01,0.789,
2008-04,0.804,
2008-07,0.779,
2008-10,0.795,
2009-01,0.756,
2009-04,0.744,
2009-07,0.748,
2009-10,0.723,
2010-01,0.758,
2010-04,0.692,
2010-07,0.682,
2010-10,0.632,
2011-01,0.648,
2011-04,0.614,
2011-07,0.605,
2011-10,0.579,
2012-01,0.668,
2012-04,0.620,
2012-07,0.654,
2012-10,0.581,
2013-01,0.647,
2013-04,0.612,
2013-07,0.627,
2013-10,0.648,
2014-01,0.671,
2014-04,0.668,
2014-07,0.667,
