"",BBK01.OEAF32U,BBK01.OEAF32U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:26,
2002-01,6.611,
2002-04,6.659,
2002-07,6.712,
2002-10,6.873,
2003-01,6.894,
2003-04,6.966,
2003-07,7.063,
2003-10,7.141,
2004-01,7.156,
2004-04,7.141,
2004-07,7.190,
2004-10,7.282,
2005-01,7.631,
2005-04,7.599,
2005-07,7.763,
2005-10,7.715,
2006-01,7.686,
2006-04,7.739,
2006-07,7.802,
2006-10,7.806,
2007-01,7.749,
2007-04,7.757,
2007-07,7.724,
2007-10,7.808,
2008-01,7.505,
2008-04,7.423,
2008-07,7.413,
2008-10,7.383,
2009-01,7.334,
2009-04,7.777,
2009-07,7.939,
2009-10,7.930,
2010-01,7.899,
2010-04,7.915,
2010-07,7.923,
2010-10,7.912,
2011-01,7.888,
2011-04,7.906,
2011-07,7.957,
2011-10,7.972,
2012-01,7.958,
2012-04,8.054,
2012-07,8.145,
2012-10,8.169,
2013-01,8.147,
2013-04,8.237,
2013-07,8.367,
2013-10,8.448,
2014-01,8.503,
2014-04,8.524,
2014-07,8.673,
