"",BBK01.OELL06V,BBK01.OELL06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:18,
2002-01,0.740,
2002-04,0.749,
2002-07,0.741,
2002-10,0.717,
2003-01,0.711,
2003-04,0.689,
2003-07,0.664,
2003-10,0.654,
2004-01,0.637,
2004-04,0.616,
2004-07,0.608,
2004-10,0.580,
2005-01,0.563,
2005-04,0.541,
2005-07,0.519,
2005-10,0.527,
2006-01,0.507,
2006-04,0.517,
2006-07,0.531,
2006-10,0.551,
2007-01,0.564,
2007-04,0.594,
2007-07,0.614,
2007-10,0.624,
2008-01,0.659,
2008-04,0.651,
2008-07,0.680,
2008-10,0.700,
2009-01,0.621,
2009-04,0.546,
2009-07,0.497,
2009-10,0.449,
2010-01,0.413,
2010-04,0.409,
2010-07,0.388,
2010-10,0.380,
2011-01,0.387,
2011-04,0.398,
2011-07,0.402,
2011-10,0.412,
2012-01,0.406,
2012-04,0.388,
2012-07,0.335,
2012-10,0.322,
2013-01,0.298,
2013-04,0.278,
2013-07,0.256,
2013-10,0.277,
2014-01,0.270,
2014-04,0.241,
2014-07,0.237,
