"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.ES.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.ES.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Spain,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:28,
2009-09,36991,
2009-10,37304,
2009-11,37524,
2009-12,36971,
2010-01,37732,
2010-02,38123,
2010-03,38324,
2010-04,35926,
2010-05,33711,
2010-06,32309,
2010-07,32758,
2010-08,33869,
2010-09,34153,
2010-10,34872,
2010-11,32520,
2010-12,31307,
2011-01,31380,
2011-02,32566,
2011-03,33635,
2011-04,33564,
2011-05,33011,
2011-06,32208,
2011-07,31385,
2011-08,30990,
2011-09,30379,
2011-10,30160,
2011-11,28668,
2011-12,29237,
2012-01,29527,
2012-02,30475,
2012-03,30284,
2012-04,28763,
2012-05,26592,
2012-06,24654,
2012-07,24066,
2012-08,23938,
2012-09,24782,
2012-10,26249,
2012-11,27760,
2012-12,28897,
2013-01,31638,
2013-02,31912,
2013-03,32546,
2013-04,33915,
2013-05,34247,
2013-06,33690,
2013-07,33462,
2013-08,33665,
2013-09,33327,
2013-10,32751,
2013-11,33278,
2013-12,33207,
2014-01,34728,
2014-02,34932,
2014-03,35785,
2014-04,36106,
2014-05,36588,
2014-06,35789,
2014-07,36310,
2014-08,36913,
2014-09,36931,
2014-10,36756,
2014-11,37689,
