"",BBFB1.M.N.DE.W1.S13.S1.T.D.D99A._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D99A._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Capital transfers / General government / Debt forgiveness / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:23,
1991-01,275.996,
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,218.339,
1991-05,-,Nothing exists
1991-06,35.091,
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,68.322,
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,336.169,
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,54.099,
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,8.854,
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,2.172,
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,63.348,
1993-01,-,Nothing exists
1993-02,39.810,
1993-03,6.527,
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,3.431,
1993-10,46.440,
1993-11,-,Nothing exists
1993-12,32.420,
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,1.647,
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,2.103,
1994-07,-,Nothing exists
1994-08,1.195,
1994-09,112.590,
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,34.510,
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,7.950,
1995-04,1090.480,
1995-05,2.288,
1995-06,9.167,
1995-07,2.726,
1995-08,2.816,
1995-09,2.420,
1995-10,6.379,
1995-11,50.503,
1995-12,4.028,
1996-01,2.253,
1996-02,6.496,
1996-03,0.770,
1996-04,1.093,
1996-05,-,Nothing exists
1996-06,160.393,
1996-07,5.315,
1996-08,10.217,
1996-09,15.140,
1996-10,1.050,
1996-11,42.329,
1996-12,1.671,
1997-01,2.227,
1997-02,212.240,
1997-03,0.075,
1997-04,2.128,
1997-05,-,Nothing exists
1997-06,2.699,
1997-07,1.315,
1997-08,1.455,
1997-09,1.016,
1997-10,1.894,
1997-11,27.954,
1997-12,17.029,
1998-01,0.316,
1998-02,27.781,
1998-03,13.153,
1998-04,0.846,
1998-05,-,Nothing exists
1998-06,0.053,
1998-07,0.107,
1998-08,0.105,
1998-09,-,Nothing exists
1998-10,0.010,
1998-11,26.839,
1998-12,3.639,
1999-01,5.037,
1999-02,1.127,
1999-03,1.265,
1999-04,0.658,
1999-05,-,Nothing exists
1999-06,0.355,
1999-07,25.872,
1999-08,0.085,
1999-09,0.387,
1999-10,2.128,
1999-11,43.298,
1999-12,22.173,
2000-01,-,Nothing exists
2000-02,0.004,
2000-03,0.330,
2000-04,-,Nothing exists
2000-05,2.293,
2000-06,14.258,
2000-07,-,Nothing exists
2000-08,8.583,
2000-09,1.981,
2000-10,35.475,
2000-11,7.596,
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,0.081,
2001-03,-,Nothing exists
