"",BBFB1.Q.N.DE.D09.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:06,
1991-01,6.227,
1991-04,8.487,
1991-07,7.793,
1991-10,9.947,
1992-01,10.644,
1992-04,11.292,
1992-07,8.842,
1992-10,12.546,
1993-01,13.985,
1993-04,15.249,
1993-07,10.525,
1993-10,12.938,
1994-01,11.467,
1994-04,12.985,
1994-07,9.501,
1994-10,10.373,
1995-01,8.002,
1995-04,7.464,
1995-07,9.051,
1995-10,9.930,
1996-01,7.026,
1996-04,9.585,
1996-07,7.328,
1996-10,5.278,
1997-01,1.475,
1997-04,3.220,
1997-07,2.050,
1997-10,1.646,
1998-01,1.366,
1998-04,1.661,
1998-07,2.424,
1998-10,1.824,
1999-01,1.799,
1999-04,2.850,
1999-07,2.606,
1999-10,1.590,
2000-01,1.419,
2000-04,1.396,
2000-07,2.717,
2000-10,3.416,
2001-01,3.565,
2001-04,5.047,
2001-07,11.284,
2001-10,0.252,
2002-01,0.135,
2002-04,0.783,
2002-07,0.548,
2002-10,0.187,
2003-01,1.097,
2003-04,1.474,
2003-07,0.447,
2003-10,0.607,
2004-01,0.447,
2004-04,0.524,
2004-07,0.855,
2004-10,0.511,
2005-01,0.687,
2005-04,7.662,
2005-07,1.078,
2005-10,0.896,
2006-01,0.526,
2006-04,0.428,
2006-07,1.675,
2006-10,0.376,
2007-01,0.064,
2007-04,0.025,
2007-07,0.180,
2007-10,0.120,
2008-01,0.026,
2008-04,0.046,
2008-07,0.006,
2008-10,0.438,
2009-01,0.128,
2009-04,0.082,
2009-07,0.070,
2009-10,0.411,
2010-01,0.161,
2010-04,0.203,
2010-07,0.002,
2010-10,0.047,
2011-01,0.291,
2011-04,0.000,
2011-07,0.000,
2011-10,0.045,
2012-01,0.014,
2012-04,0.017,
2012-07,0.039,
2012-10,0.018,
2013-01,0.014,
2013-04,0.025,
2013-07,0.011,
2013-10,0.102,
2014-01,0.304,
2014-04,0.048,
2014-07,0.042,
