"",BBK01.CEFE10,BBK01.CEFE10_FLAGS
"",short-term loans                                              debtor: Non-financial corporations creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:06,
1999-01,362.0,
1999-04,367.5,
1999-07,365.7,
1999-10,390.8,
2000-01,387.1,
2000-04,400.8,
2000-07,396.2,
2000-10,427.6,
2001-01,444.2,
2001-04,453.7,
2001-07,442.2,
2001-10,450.3,
2002-01,453.4,
2002-04,454.4,
2002-07,463.1,
2002-10,447.5,
2003-01,445.6,
2003-04,444.7,
2003-07,433.6,
2003-10,434.8,
2004-01,423.3,
2004-04,412.8,
2004-07,401.4,
2004-10,400.0,
2005-01,401.9,
2005-04,405.3,
2005-07,404.1,
2005-10,408.2,
2006-01,409.5,
2006-04,420.5,
2006-07,424.4,
2006-10,423.0,
2007-01,434.3,
2007-04,443.2,
2007-07,447.8,
2007-10,454.9,
2008-01,455.5,
2008-04,469.2,
2008-07,468.4,
2008-10,468.3,
2009-01,469.0,
2009-04,468.0,
2009-07,443.9,
2009-10,420.0,
2010-01,422.0,
2010-04,423.1,
2010-07,409.6,
2010-10,400.1,
2011-01,405.8,
2011-04,407.0,
2011-07,414.1,
2011-10,420.1,
2012-01,422.9,
2012-04,431.3,
2012-07,432.5,
2012-10,429.4,
2013-01,444.6,
2013-04,447.2,
2013-07,460.5,
2013-10,449.2,
2014-01,462.3,
2014-04,473.9,
2014-07,463.1,
