"",BBDE1.M.DE.Y.BAA1.A2P320000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P320000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:36,
1991-01,79.7,
1991-02,78.1,
1991-03,77.8,
1991-04,76.8,
1991-05,75.6,
1991-06,79.9,
1991-07,76.2,
1991-08,76.6,
1991-09,74.6,
1991-10,76.3,
1991-11,77.4,
1991-12,77.3,
1992-01,78.7,
1992-02,80.1,
1992-03,77.1,
1992-04,77.5,
1992-05,76.8,
1992-06,75.3,
1992-07,72.5,
1992-08,73.4,
1992-09,73.1,
1992-10,73.0,
1992-11,71.4,
1992-12,69.0,
1993-01,67.7,
1993-02,65.9,
1993-03,66.6,
1993-04,65.7,
1993-05,66.8,
1993-06,64.5,
1993-07,62.2,
1993-08,67.1,
1993-09,65.7,
1993-10,65.7,
1993-11,64.3,
1993-12,66.3,
1994-01,63.6,
1994-02,67.5,
1994-03,66.1,
1994-04,67.9,
1994-05,67.2,
1994-06,67.4,
1994-07,67.6,
1994-08,66.1,
1994-09,68.3,
1994-10,69.9,
1994-11,68.9,
1994-12,68.9,
1995-01,67.4,
1995-02,68.6,
1995-03,68.3,
1995-04,68.6,
1995-05,69.5,
1995-06,68.9,
1995-07,68.6,
1995-08,67.9,
1995-09,70.1,
1995-10,67.0,
1995-11,68.6,
1995-12,71.2,
1996-01,69.2,
1996-02,68.6,
1996-03,68.8,
1996-04,68.4,
1996-05,68.3,
1996-06,69.6,
1996-07,68.0,
1996-08,69.3,
1996-09,70.2,
1996-10,68.7,
1996-11,71.1,
1996-12,70.5,
1997-01,69.6,
1997-02,70.0,
1997-03,71.4,
1997-04,70.2,
1997-05,69.6,
1997-06,73.2,
1997-07,74.4,
1997-08,70.6,
1997-09,71.7,
1997-10,72.9,
1997-11,73.9,
1997-12,74.6,
1998-01,75.1,
1998-02,76.2,
1998-03,77.9,
1998-04,77.0,
1998-05,77.8,
1998-06,76.8,
1998-07,80.0,
1998-08,77.7,
1998-09,76.5,
1998-10,78.7,
1998-11,77.3,
1998-12,78.7,
1999-01,76.8,
1999-02,76.5,
1999-03,76.4,
1999-04,78.3,
1999-05,78.4,
1999-06,77.9,
1999-07,78.2,
1999-08,79.9,
1999-09,78.7,
1999-10,80.6,
1999-11,79.8,
1999-12,79.4,
2000-01,80.9,
2000-02,82.3,
2000-03,83.0,
2000-04,84.8,
2000-05,86.4,
2000-06,84.5,
2000-07,86.8,
2000-08,87.4,
2000-09,88.1,
2000-10,87.4,
2000-11,87.9,
2000-12,89.1,
2001-01,90.0,
2001-02,90.8,
2001-03,89.4,
2001-04,87.9,
2001-05,88.6,
2001-06,88.8,
2001-07,85.7,
2001-08,88.9,
2001-09,88.3,
2001-10,85.2,
2001-11,84.4,
2001-12,85.3,
2002-01,86.1,
2002-02,85.2,
2002-03,85.9,
2002-04,86.6,
2002-05,84.6,
2002-06,88.9,
2002-07,85.7,
2002-08,89.0,
2002-09,87.2,
2002-10,85.7,
2002-11,88.8,
2002-12,86.7,
2003-01,88.3,
2003-02,89.2,
2003-03,87.9,
2003-04,86.6,
2003-05,86.4,
2003-06,84.4,
2003-07,87.9,
2003-08,85.6,
2003-09,85.4,
2003-10,87.7,
2003-11,91.0,
2003-12,90.4,
2004-01,88.6,
2004-02,88.6,
2004-03,89.1,
2004-04,90.2,
2004-05,92.8,
2004-06,90.6,
2004-07,92.5,
2004-08,92.4,
2004-09,91.4,
2004-10,93.8,
2004-11,90.0,
2004-12,89.6,
2005-01,92.4,
2005-02,91.1,
2005-03,94.1,
2005-04,94.3,
2005-05,92.3,
2005-06,96.0,
2005-07,97.4,
2005-08,92.7,
2005-09,98.0,
2005-10,98.7,
2005-11,97.7,
2005-12,97.6,
2006-01,97.5,
2006-02,98.8,
2006-03,97.9,
2006-04,99.1,
2006-05,100.9,
2006-06,100.3,
2006-07,103.3,
2006-08,102.2,
2006-09,103.4,
2006-10,102.6,
2006-11,105.8,
2006-12,104.9,
2007-01,106.9,
2007-02,107.2,
2007-03,107.5,
2007-04,106.1,
2007-05,109.0,
2007-06,109.9,
2007-07,111.3,
2007-08,110.1,
2007-09,111.6,
2007-10,113.1,
2007-11,113.1,
2007-12,112.9,
2008-01,116.9,
2008-02,115.7,
2008-03,113.8,
2008-04,115.7,
2008-05,112.4,
2008-06,114.6,
2008-07,111.8,
2008-08,114.3,
2008-09,112.3,
2008-10,108.4,
2008-11,105.3,
2008-12,101.9,
2009-01,89.5,
2009-02,84.4,
2009-03,87.8,
2009-04,82.3,
2009-05,88.7,
2009-06,89.1,
2009-07,86.3,
2009-08,86.9,
2009-09,93.1,
2009-10,88.6,
2009-11,89.4,
2009-12,89.8,
2010-01,90.1,
2010-02,89.8,
2010-03,94.1,
2010-04,95.2,
2010-05,99.3,
2010-06,99.2,
2010-07,97.3,
2010-08,99.5,
2010-09,102.8,
2010-10,106.3,
2010-11,105.2,
2010-12,110.3,
2011-01,106.7,
2011-02,108.7,
2011-03,109.9,
2011-04,110.1,
2011-05,112.9,
2011-06,110.1,
2011-07,115.1,
2011-08,115.8,
2011-09,112.4,
2011-10,114.9,
2011-11,113.8,
2011-12,111.7,
2012-01,113.4,
2012-02,113.8,
2012-03,115.5,
2012-04,112.2,
2012-05,114.9,
2012-06,112.7,
2012-07,115.6,
2012-08,115.9,
2012-09,113.2,
2012-10,110.4,
2012-11,110.7,
2012-12,112.0,
2013-01,108.8,
2013-02,112.2,
2013-03,113.0,
2013-04,115.0,
2013-05,111.3,
2013-06,115.6,
2013-07,111.4,
2013-08,118.3,
2013-09,114.9,
2013-10,112.8,
2013-11,117.4,
2013-12,116.5,
2014-01,116.8,
2014-02,116.9,
2014-03,116.6,
2014-04,115.9,
2014-05,116.4,
2014-06,116.2,
2014-07,119.8,
2014-08,112.8,
2014-09,116.6,
2014-10,116.6,Provisional value
2014-11,117.2,Provisional value
2014-12,115.8,Provisional value
