"",BBK01.OEYJ02P,BBK01.OEYJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:38,
2002-01,0.258,
2002-04,0.260,
2002-07,0.271,
2002-10,0.272,
2003-01,0.293,
2003-04,0.277,
2003-07,0.320,
2003-10,0.298,
2004-01,0.275,
2004-04,0.352,
2004-07,0.309,
2004-10,0.313,
2005-01,0.275,
2005-04,0.272,
2005-07,0.314,
2005-10,0.320,
2006-01,0.490,
2006-04,0.465,
2006-07,0.300,
2006-10,0.366,
2007-01,0.418,
2007-04,0.372,
2007-07,0.472,
2007-10,0.477,
2008-01,0.447,
2008-04,0.460,
2008-07,0.353,
2008-10,0.668,
2009-01,0.498,
2009-04,0.582,
2009-07,0.544,
2009-10,0.810,
2010-01,0.846,
2010-04,0.907,
2010-07,0.682,
2010-10,0.728,
2011-01,0.781,
2011-04,0.868,
2011-07,1.003,
2011-10,0.910,
2012-01,0.644,
2012-04,0.816,
2012-07,0.627,
2012-10,1.134,
2013-01,0.767,
2013-04,0.793,
2013-07,0.838,
2013-10,1.016,
2014-01,1.076,
2014-04,0.865,
2014-07,0.959,
