"",BBK01.OEAA11Q,BBK01.OEAA11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:13,
2002-01,10.302,
2002-04,9.956,
2002-07,10.049,
2002-10,11.069,
2003-01,11.030,
2003-04,11.665,
2003-07,12.239,
2003-10,11.786,
2004-01,11.258,
2004-04,9.646,
2004-07,9.354,
2004-10,9.181,
2005-01,9.390,
2005-04,9.839,
2005-07,9.375,
2005-10,9.058,
2006-01,9.348,
2006-04,9.458,
2006-07,9.204,
2006-10,8.626,
2007-01,8.819,
2007-04,8.818,
2007-07,8.846,
2007-10,8.868,
2008-01,8.775,
2008-04,11.789,
2008-07,10.330,
2008-10,7.697,
2009-01,7.887,
2009-04,9.020,
2009-07,8.404,
2009-10,8.366,
2010-01,6.997,
2010-04,9.019,
2010-07,7.461,
2010-10,7.889,
2011-01,8.728,
2011-04,6.225,
2011-07,6.309,
2011-10,5.653,
2012-01,8.571,
2012-04,9.207,
2012-07,11.947,
2012-10,7.750,
2013-01,6.630,
2013-04,6.548,
2013-07,6.612,
2013-10,6.838,
2014-01,6.814,
2014-04,7.559,
2014-07,7.202,
