"",BBEX3.M.SCR.USD.CA.AC.A01,BBEX3.M.SCR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Seychelles / USD 1 = SCR ... (middle),
unit,SCR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:41,
1981-01,6.65925,
1981-02,6.78240,
1981-03,5.91445,comment
1981-04,6.00450,
1981-05,6.19730,
1981-06,6.27805,
1981-07,6.42950,
1981-08,6.41005,
1981-09,6.30960,
1981-10,6.33620,
1981-11,6.19605,
1981-12,6.23480,
1982-01,6.33795,
1982-02,6.40945,
1982-03,6.50135,
1982-04,6.43690,
1982-05,6.44015,
1982-06,6.65110,
1982-07,6.62895,
1982-08,6.70015,
1982-09,6.75015,
1982-10,6.79425,
1982-11,6.70975,
1982-12,6.55150,
1983-01,6.67015,
1983-02,6.64990,
1983-03,6.74090,
1983-04,6.71285,
1983-05,6.73045,
1983-06,6.79085,
1983-07,6.85440,
1983-08,6.93325,
1983-09,6.87350,
1983-10,6.84230,
1983-11,6.93365,
1983-12,6.94460,
1984-01,7.02115,
1984-02,6.88040,
1984-03,6.80285,
1984-04,6.91310,
1984-05,6.97130,
1984-06,7.03405,
1984-07,7.16520,
1984-08,7.13625,
1984-09,7.26745,
1984-10,7.30590,
1984-11,7.31765,
1984-12,7.38490,
1985-01,7.44555,
1985-02,7.56665,
1985-03,7.35450,
1985-04,7.34825,
1985-05,7.29660,
1985-06,7.27485,
1985-07,7.03360,
1985-08,7.00295,
1985-09,6.85980,
1985-10,6.77135,
1985-11,6.66305,
1985-12,6.62215,
1986-01,6.56140,
1986-02,6.25555,
1986-03,6.38000,
1986-04,6.15590,
1986-05,6.28845,
1986-06,6.20580,
1986-07,6.06645,
1986-08,6.00335,
1986-09,5.99535,
1986-10,6.03565,
1986-11,6.01400,
1986-12,5.94655,
1987-01,5.73210,
1987-02,5.74360,
1987-03,5.64370,
1987-04,5.56965,
1987-05,5.62975,
1987-06,5.67965,
1987-07,5.73485,
1987-08,5.63150,
1987-09,5.67410,
1987-10,5.48675,
1987-11,5.36585,
1987-12,5.16535,
1988-01,5.30410,
1988-02,5.33815,
1988-03,5.25560,
1988-04,5.25720,
1988-05,5.29745,
1988-06,5.53995,
1988-07,5.55275,
1988-08,5.61240,
1988-09,5.62330,
1988-10,5.42805,
1988-11,5.31675,
1988-12,5.41205,
1989-01,5.54335,
1989-02,5.46235,
1989-03,5.61020,
1989-04,5.55900,
1989-05,5.78185,
1989-06,5.81890,
1989-07,5.65950,
1989-08,5.82180,
1989-09,5.69090,
1989-10,5.67950,
1989-11,5.63815,
1989-12,5.48775,
1990-01,5.46945,
1990-02,5.51035,
1990-03,5.59075,
1990-04,5.57785,
1990-05,5.49035,
1990-06,5.48655,
1990-07,5.35015,
1990-08,5.24765,
1990-09,5.21830,
1990-10,5.07040,
1990-11,5.04225,
1990-12,5.13800,
1991-01,5.06505,
1991-02,5.11610,
1991-03,5.37145,
1991-04,5.44355,
1991-05,5.39745,
1991-06,5.50630,
1991-07,5.44465,
1991-08,5.52470,
1991-09,5.34580,
1991-10,5.30535,
1991-11,5.23205,
1991-12,5.08170,
1992-01,5.18975,
1992-02,5.25410,
1992-03,5.31775,
1992-04,5.29465,
1992-05,5.24020,
1992-06,5.05560,
1992-07,5.04015,
1992-08,4.91085,
1992-09,4.95740,
1992-10,5.16440,
1992-11,5.23875,
1992-12,5.27420,
1993-01,5.23140,
1993-02,5.25650,
1993-03,5.23435,
1993-04,5.11315,
1993-05,5.08350,
1993-06,5.20500,
1993-07,5.21385,
1993-08,5.16300,
1993-09,5.11595,
1993-10,5.22060,
1993-11,5.25220,
1993-12,5.27760,
1994-01,5.25410,
1994-02,5.20290,
1994-03,5.15100,
1994-04,5.13165,
1994-05,5.13130,
1994-06,5.00595,
1994-07,4.98770,
1994-08,5.00935,
1994-09,4.95255,
1994-10,4.86895,
1994-11,4.97285,
1994-12,4.98810,
1995-01,4.92595,
1995-02,4.85460,
1995-03,4.66490,
1995-04,4.59730,
1995-05,4.60885,
1995-06,4.65135,
1995-07,4.67045,
1995-08,4.89395,
1995-09,4.82085,
1995-10,4.84870,
1995-11,4.88045,
1995-12,4.88210,
1996-01,4.99355,
1996-02,4.92815,
1996-03,4.98060,
1996-04,4.99765,
1996-05,4.99485,
1996-06,4.99235,
1996-07,4.98780,
1996-08,4.98960,
1996-09,4.99955,
1996-10,5.00500,
1996-11,5.00605,
1996-12,5.01330,
1997-01,5.01055,
1997-02,5.01330,
1997-03,5.01250,
1997-04,5.01330,
1997-05,5.01500,
1997-06,5.01955,
1997-07,5.08515,
1997-08,5.08840,
1997-09,5.06810,
1997-10,5.02510,
1997-11,5.06835,
1997-12,5.14415,
1998-01,5.21200,
1998-02,5.16745,
1998-03,5.18055,
1998-04,5.14535,
1998-05,5.19360,
1998-06,5.27115,
1998-07,5.28720,
1998-08,5.28135,
1998-09,5.34580,
1998-10,5.43035,
1998-11,5.55130,
1998-12,5.47255,
1999-01,5.47100,
1999-02,5.32140,
1999-03,5.34985,
1999-04,5.34035,
1999-05,5.40650,
1999-06,5.40370,
1999-07,5.32270,
1999-08,5.36265,
1999-09,5.29795,
1999-10,5.30965,
1999-11,5.39190,
1999-12,5.38770,
2000-01,5.46375,
2000-02,5.51125,
2000-03,5.54575,
2000-04,5.65480,
2000-05,5.70215,
2000-06,5.62715,
2000-07,5.70775,
2000-08,5.78385,
2000-09,5.83365,
2000-10,5.94795,
2000-11,6.19110,
2000-12,6.29235,
2001-01,6.45700,
2001-02,6.49685,
2001-03,6.43400,
2001-04,5.89980,
2001-05,5.66445,
2001-06,5.64240,
2001-07,5.61405,
2001-08,5.48310,
2001-09,5.50845,
2001-10,5.59055,
2001-11,5.68495,
2001-12,5.77375,
2002-01,5.82185,
2002-02,5.82380,
2002-03,5.80135,
2002-04,5.65500,
2002-05,5.52180,
2002-06,5.36240,
2002-07,5.32815,
2002-08,5.36810,
2002-09,5.39170,
2002-10,5.35215,
2002-11,5.30300,
2002-12,5.10065,
2003-01,4.97375,
2003-02,5.09965,
2003-03,5.31180,
2003-04,5.47180,
2003-05,5.53715,
2003-06,5.60710,
2003-07,5.55300,
2003-08,5.64975,
2003-09,5.52065,
2003-10,5.52065,
2003-11,5.52065,
2003-12,5.52065,
2004-01,5.52065,
2004-02,5.52065,
2004-03,5.52065,
2004-04,5.52065,
2004-05,5.52065,
2004-06,5.52065,
