"",BBEX3.M.LKR.EUR.CA.AA.A01,BBEX3.M.LKR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Sri Lanka  / EUR 1 = LKR ... (buying),
unit,LKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:48,
1999-01,78.09,
1999-02,75.91,
1999-03,73.84,
1999-04,73.59,
1999-05,73.27,
1999-06,73.34,
1999-07,75.80,
1999-08,74.71,
1999-09,75.84,
1999-10,74.68,
1999-11,72.22,
1999-12,72.19,
2000-01,71.20,
2000-02,70.88,
2000-03,70.10,
2000-04,66.86,
2000-05,69.06,
2000-06,74.72,
2000-07,71.86,
2000-08,69.37,
2000-09,69.47,
2000-10,66.26,
2000-11,69.14,
2000-12,76.14,
2001-01,82.43,
2001-02,78.34,
2001-03,76.29,
2001-04,79.61,
2001-05,77.41,
2001-06,76.06,
2001-07,78.17,
2001-08,82.09,
2001-09,81.86,
2001-10,81.25,
2001-11,82.03,
2001-12,81.65,
2002-01,81.35,
2002-02,80.81,
2002-03,83.24,
2002-04,86.21,
2002-05,89.39,
2002-06,94.03,
2002-07,94.11,
2002-08,94.17,
2002-09,93.60,
2002-10,94.11,
2002-11,95.24,
2002-12,99.15,
2003-01,104.20,
2003-02,103.95,
2003-03,102.93,
2003-04,107.43,
2003-05,114.73,
2003-06,110.18,
2003-07,109.51,
2003-08,104.59,
2003-09,109.01,
2003-10,109.90,
2003-11,113.86,
2003-12,120.87,
2004-01,119.97,
2004-02,122.64,
2004-03,118.44,
2004-04,116.58,
2004-05,120.16,
2004-06,122.98,
2004-07,123.74,
2004-08,123.67,
2004-09,127.02,
2004-10,131.72,
2004-11,138.19,
2004-12,141.36,
2005-01,128.22,
2005-02,130.99,
2005-03,127.53,
2005-04,127.87,
2005-05,124.33,
2005-06,119.85,
2005-07,120.92,
2005-08,122.62,
2005-09,120.84,
2005-10,121.69,
2005-11,119.06,
2005-12,119.89,
2006-01,122.44,
2006-02,120.32,
2006-03,123.91,
2006-04,127.57,
2006-05,131.18,
2006-06,130.86,
2006-07,131.47,
2006-08,130.08,
2006-09,130.54,
2006-10,135.11,
2006-11,140.62,
2006-12,140.19,
2007-01,139.48,
2007-02,142.43,
2007-03,144.26,
2007-04,148.08,
2007-05,147.47,
2007-06,148.26,
2007-07,151.76,
2007-08,153.08,
2007-09,159.18,
2007-10,159.24,
2007-11,161.62,
2007-12,158.86,
2008-01,158.16,
2008-02,162.25,
2008-03,168.80,
2008-04,166.54,
2008-05,166.05,
2008-06,168.66,
2008-07,166.32,
2008-08,157.63,
2008-09,153.47,
2008-10,139.59,
2008-11,140.60,
2008-12,157.85,
2009-01,145.48,
2009-02,145.15,
2009-03,151.29,
2009-04,157.92,
2009-05,159.17,
2009-06,160.44,
2009-07,160.49,
2009-08,162.60,
2009-09,166.03,
2009-10,168.54,
2009-11,170.36,
2009-12,161.96,
2010-01,158.35,
2010-02,153.82,
2010-03,151.30,
2010-04,149.11,
2010-05,138.74,
2010-06,137.00,
2010-07,145.28,
2010-08,140.99,
2010-09,150.61,
2010-10,153.46,
2010-11,144.29,
2010-12,145.51,
2011-01,148.84,
2011-02,150.19,
2011-03,153.98,
2011-04,160.69,
2011-05,155.70,
2011-06,156.63,
2011-07,154.86,
2011-08,157.41,
2011-09,147.35,
2011-10,152.91,
2011-11,149.78,
2011-12,145.37,
2012-01,147.98,
2012-02,160.34,
2012-03,167.45,
2012-04,168.63,
2012-05,160.65,
2012-06,165.51,
2012-07,159.03,
2012-08,163.29,
2012-09,164.54,
2012-10,165.72,
2012-11,166.54,
2012-12,165.17,
2013-01,168.80,
2013-02,164.60,
2013-03,159.39,
2013-04,163.23,
2013-05,162.16,
2013-06,167.45,
2013-07,171.47,
2013-08,173.57,
2013-09,174.81,
2013-10,176.55,
2013-11,175.32,
2013-12,177.50,
2014-01,174.21,
2014-02,176.65,
2014-03,176.78,
2014-04,177.34,
2014-05,174.52,
2014-06,174.89,
2014-07,171.53,
2014-08,168.77,
2014-09,162.71,
2014-10,162.23,
2014-11,161.04,
2014-12,157.92,
2015-01,148.44,
"","Source: Since 2005 Central Bank of Sri Lanka, Colombo  1999 - 2004 Commercial Bank of Ceylon Ltd., Colombo",
