"",BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:43,
1991-01,-202.232,
1991-02,36.601,
1991-03,2681.272,
1991-04,-23.915,
1991-05,1018.973,
1991-06,-115.082,
1991-07,820.209,
1991-08,2178.707,
1991-09,-133.263,
1991-10,-67.632,
1991-11,-451.131,
1991-12,-480.077,
1992-01,3144.196,
1992-02,-347.853,
1992-03,304.381,
1992-04,-1171.445,
1992-05,3370.077,
1992-06,-57.337,
1992-07,-1021.875,
1992-08,7.541,
1992-09,445.324,
1992-10,497.272,
1992-11,-186.950,
1992-12,1186.432,
1993-01,844.789,
1993-02,1167.792,
1993-03,-376.116,
1993-04,-606.739,
1993-05,3161.540,
1993-06,257.870,
1993-07,550.139,
1993-08,-1297.986,
1993-09,1709.010,
1993-10,183.355,
1993-11,-1366.177,
1993-12,2484.905,
1994-01,-378.671,
1994-02,753.492,
1994-03,1007.049,
1994-04,-409.596,
1994-05,680.452,
1994-06,-176.332,
1994-07,-492.940,
1994-08,-678.865,
1994-09,-243.556,
1994-10,-1707.273,
1994-11,-201.476,
1994-12,834.116,
1995-01,-742.609,
1995-02,201.173,
1995-03,821.287,
1995-04,-854.409,
1995-05,1448.655,
1995-06,2415.213,
1995-07,-1691.277,
1995-08,-692.056,
1995-09,1235.192,
1995-10,188.189,
1995-11,1682.800,
1995-12,1723.539,
1996-01,-712.994,
1996-02,281.359,
1996-03,150.357,
1996-04,-217.838,
1996-05,1411.969,
1996-06,-75.409,
1996-07,-1535.697,
1996-08,73.493,
1996-09,-1385.046,
1996-10,-799.939,
1996-11,836.745,
1996-12,3195.496,
1997-01,-1.687,
1997-02,752.992,
1997-03,492.738,
1997-04,-1010.258,
1997-05,860.117,
1997-06,395.833,
1997-07,1089.255,
1997-08,-936.107,
1997-09,598.232,
1997-10,-468.151,
1997-11,378.286,
1997-12,677.866,
1998-01,1822.045,
1998-02,-68.764,
1998-03,6.042,
1998-04,-812.775,
1998-05,1428.451,
1998-06,1677.083,
1998-07,123.271,
1998-08,783.593,
1998-09,-415.494,
1998-10,-823.910,
1998-11,1067.770,
1998-12,-2181.573,
1999-01,-3705.526,
1999-02,-142.554,
1999-03,-1692.226,
1999-04,-1068.493,
1999-05,-129.650,
1999-06,-59.481,
1999-07,194.394,
1999-08,-580.161,
1999-09,-42.174,
1999-10,769.368,
1999-11,-646.594,
1999-12,136.749,
2000-01,-797.407,
2000-02,48.872,
2000-03,-697.381,
2000-04,-41.272,
2000-05,610.672,
2000-06,4375.019,
2000-07,-551.735,
2000-08,702.790,
2000-09,15796.517,
2000-10,-1659.137,
2000-11,843.145,
2000-12,1984.042,
2001-01,-19954.875,
2001-02,-928.522,
2001-03,-94.102,
2001-04,865.650,
2001-05,-342.365,
2001-06,-2341.925,
2001-07,-82.501,
2001-08,-114.526,
2001-09,-27.293,
2001-10,-83.222,
2001-11,-315.411,
2001-12,8040.871,
2002-01,-3416.360,
2002-02,102.785,
2002-03,378.614,
2002-04,-104.698,
2002-05,241.956,
2002-06,-65.256,
2002-07,401.336,
2002-08,-4304.893,
2002-09,-240.569,
2002-10,213.234,
2002-11,-303.099,
2002-12,517.058,
2003-01,-949.355,
2003-02,259.071,
2003-03,-78.867,
2003-04,-371.408,
2003-05,1348.947,
2003-06,-220.736,
2003-07,369.723,
2003-08,-392.700,
2003-09,262.719,
2003-10,303.977,
2003-11,-289.708,
2003-12,-969.953,
2004-01,-1170.875,
2004-02,662.691,
2004-03,-255.961,
2004-04,960.660,
2004-05,-485.005,
2004-06,-280.733,
2004-07,-474.434,
2004-08,-665.879,
2004-09,-15.772,
2004-10,-74.955,
2004-11,-627.745,
2004-12,285.150,
2005-01,-1888.133,
2005-02,449.386,
2005-03,-6987.232,
2005-04,6094.046,
2005-05,-4447.816,
2005-06,126.678,
2005-07,7559.934,
2005-08,-12825.065,
2005-09,1511.689,
2005-10,524.648,
2005-11,-2040.580,
2005-12,8750.540,
2006-01,-2990.840,
2006-02,-9176.735,
2006-03,4717.791,
2006-04,2907.459,
2006-05,5763.603,
2006-06,4431.917,
2006-07,-975.082,
2006-08,848.475,
2006-09,-902.770,
2006-10,6448.593,
2006-11,-7974.716,
2006-12,-4166.143,
2007-01,-6535.884,
2007-02,-899.915,
2007-03,-3517.776,
2007-04,4554.911,
2007-05,13231.751,
2007-06,7325.856,
2007-07,-18658.904,
2007-08,-5959.083,
2007-09,-1987.362,
2007-10,-5828.554,
2007-11,10679.093,
2007-12,-829.768,
2008-01,-6401.950,
2008-02,-2983.062,
2008-03,10638.175,
2008-04,-10134.225,
2008-05,4390.226,
2008-06,11916.600,
2008-07,-17416.084,
2008-08,2397.176,
2008-09,3522.696,
2008-10,-6681.467,
2008-11,6152.072,
2008-12,1703.602,
2009-01,-3311.424,
2009-02,-3710.490,
2009-03,2049.864,
2009-04,-2364.344,
2009-05,6289.716,
2009-06,11745.316,
2009-07,-12140.616,
2009-08,2387.878,
2009-09,-3600.117,
2009-10,799.570,
2009-11,4634.852,
2009-12,-2785.791,
2010-01,-4240.406,
2010-02,1306.285,
2010-03,5407.449,
2010-04,-4109.768,
2010-05,13437.871,
2010-06,-4171.064,
2010-07,-1079.205,
2010-08,1147.568,
2010-09,879.074,
2010-10,42784.695,
2010-11,4171.521,
2010-12,2167.847,
2011-01,-4309.700,
2011-02,1559.162,
2011-03,2620.565,
2011-04,-2884.344,
2011-05,238.249,
2011-06,7977.816,
2011-07,-9779.409,
2011-08,-2829.920,
2011-09,1349.683,
2011-10,16416.452,
2011-11,6687.985,
2011-12,4014.285,
2012-01,838.318,
2012-02,-6315.326,
2012-03,7888.715,
2012-04,9001.953,
2012-05,7158.171,
2012-06,-772.292,
2012-07,-390.696,
2012-08,-1206.361,
2012-09,-3248.706,
2012-10,19989.165,
2012-11,3763.942,
2012-12,12890.152,
2013-01,-5301.371,
2013-02,1430.147,
2013-03,16.702,
2013-04,4366.553,
2013-05,-1.220,
2013-06,-1476.659,
2013-07,-214.343,
2013-08,3653.509,
2013-09,164.195,
2013-10,4075.388,
2013-11,1890.910,
2013-12,-365.642,
2014-01,-267.434,
2014-02,-1315.892,Provisional value
2014-03,3668.950,Provisional value
2014-04,4126.183,Provisional value
2014-05,-515.242,Provisional value
2014-06,-1901.786,Provisional value
2014-07,2419.756,Provisional value
2014-08,2674.222,Provisional value
2014-09,-566.852,
2014-10,2461.978,
2014-11,4507.964,
2014-12,-2222.604,Provisional value
