"",BBSF2.M.1.S.I1250.GEM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:42,
1993-04,296,
1993-05,328,
1993-06,262,
1993-07,419,
1993-08,105,
1993-09,91,
1993-10,552,
1993-11,245,
1993-12,1565,
1994-01,1283,
1994-02,726,
1994-03,318,
1994-04,166,
1994-05,305,
1994-06,293,
1994-07,243,
1994-08,251,
1994-09,153,
1994-10,-148,
1994-11,-36,
1994-12,1259,
1995-01,958,
1995-02,437,
1995-03,230,
1995-04,104,
1995-05,238,
1995-06,188,
1995-07,504,
1995-08,135,
1995-09,448,
1995-10,234,
1995-11,426,
1995-12,2182,
1996-01,1663,
1996-02,1328,
1996-03,970,
1996-04,431,
1996-05,425,
1996-06,534,
1996-07,599,
1996-08,426,
1996-09,225,
1996-10,760,
1996-11,508,
1996-12,2398,
1997-01,2022,
1997-02,1339,
1997-03,918,
1997-04,1054,
1997-05,463,
1997-06,-334,
1997-07,1557,
1997-08,1355,
1997-09,929,
1997-10,1144,
1997-11,588,
1997-12,3943,
1998-01,2565,
1998-02,1732,
1998-03,1163,
1998-04,1001,
1998-05,893,
1998-06,1042,
1998-07,1572,
1998-08,1285,
1998-09,758,
1998-10,1219,
1998-11,612,
1998-12,4800,
1999-01,2217,
1999-02,1032,
1999-03,1060,
1999-04,1397,
1999-05,550,
1999-06,742,
1999-07,620,
1999-08,1098,
1999-09,39,
1999-10,783,
1999-11,81,
1999-12,5214,
2000-01,2185,
2000-02,-2168,
2000-03,877,
2000-04,866,
2000-05,875,
2000-06,-956,
2000-07,757,
2000-08,911,
2000-09,1404,
2000-10,-65,
2000-11,-341,
2000-12,5976,
2001-01,2337,
2001-02,525,
2001-03,1524,
2001-04,-939,
2001-05,-137,
2001-06,-385,
2001-07,1296,
2001-08,229,
2001-09,-318,
2001-10,2348,
2001-11,1078,
2001-12,3151,
2002-01,1371,
2002-02,622,
2002-03,1547,
2002-04,2708,
2002-05,2042,
2002-06,2761,
2002-07,1175,
2002-08,-476,
2002-09,423,
2002-10,1254,
2002-11,238,
2002-12,1961,
2003-01,1004,
2003-02,-1088,
2003-03,2164,
2003-04,685,
2003-05,1423,
2003-06,849,
2003-07,-1243,
2003-08,632,
2003-09,1997,
2003-10,791,
2003-11,-1199,
2003-12,379,
2004-01,4436,
2004-02,-180,
2004-03,243,
2004-04,1516,
2004-05,-1124,
2004-06,-274,
2004-07,-974,
2004-08,-111,
2004-09,-2489,
2004-10,-372,
2004-11,-963,
2004-12,1298,
2005-01,945,
2005-02,1026,
2005-03,-107,
2005-04,-161,
2005-05,-1739,
2005-06,908,
2005-07,-482,
2005-08,1241,
2005-09,16,
2005-10,696,
2005-11,-712,
2005-12,1430,
2006-01,409,
2006-02,2153,
2006-03,-412,
2006-04,98,
2006-05,-142,
2006-06,-1425,
2006-07,3370,
2006-08,5165,
2006-09,819,
2006-10,-257,
2006-11,332,
2006-12,1791,
2007-01,-86,
2007-02,-204,
2007-03,-62,
2007-04,1074,
2007-05,-445,
2007-06,339,
2007-07,-1152,
2007-08,-85,
2007-09,-273,
2007-10,-211,
2007-11,64,
2007-12,-11,
2008-01,687,
2008-02,907,
2008-03,386,
2008-04,-161,
2008-05,-342,
2008-06,94,
2008-07,393,
2008-08,1171,
2008-09,199,
2008-10,-2161,
2008-11,161,
2008-12,-66,
2009-01,193,
2009-02,234,
2009-03,209,
2009-04,-606,
2009-05,563,
2009-06,201,
2009-07,-1981,
2009-08,-559,
2009-09,154,
2009-10,5306,
2009-11,-75,
2009-12,-1207,
2010-01,242,
2010-02,461,
2010-03,1050,
2010-04,683,
2010-05,596,
2010-06,372,
2010-07,1212,
2010-08,366,
2010-09,414,
2010-10,650,
2010-11,24,
2010-12,1837,
2011-01,1578,
2011-02,98,
2011-03,809,
2011-04,366,
2011-05,-24,
2011-06,285,
2011-07,92,
2011-08,-509,
2011-09,221,
2011-10,339,
2011-11,3647,
2011-12,364,
2012-01,-4956,
2012-02,6466,
2012-03,774,
2012-04,145,
2012-05,406,
2012-06,212,
2012-07,-229,
2012-08,419,
2012-09,1248,
2012-10,872,
2012-11,534,
2012-12,658,
2013-01,525,
2013-02,702,
2013-03,1655,
2013-04,405,
2013-05,503,
2013-06,549,
2013-07,544,
2013-08,454,
2013-09,457,
2013-10,92,
2013-11,-64,
2013-12,1217,
2014-01,-321,
2014-02,807,
2014-03,890,
2014-04,127,
2014-05,-39,
2014-06,216,
2014-07,2543,
2014-08,1001,
2014-09,70,
2014-10,462,
2014-11,724,
