"",BBEX3.M.RSD.EUR.CA.AB.A01,BBEX3.M.RSD.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Serbia  / EUR 1 = RSD ... (selling),
unit,RSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:25,
2006-10,80.1598,
2006-11,78.8860,
2006-12,79.2370,
2007-01,79.2370,
2007-02,80.2300,
2007-03,81.8189,
2007-04,80.9675,
2007-05,81.4497,
2007-06,79.2625,
2007-07,79.7665,
2007-08,80.1297,
2007-09,79.0972,
2007-10,77.4717,
2007-11,85.0083,
2007-12,79.4739,
2008-01,83.0198,
2008-02,83.7139,
2008-03,82.5615,
2008-04,80.3699,
2008-05,82.6775,
2008-06,79.2153,
2008-07,77.2249,
2008-08,76.6735,
2008-09,76.8270,
2008-10,85.2460,
2008-11,89.4629,
2008-12,88.8668,
2009-01,94.3835,
2009-02,94.0836,
2009-03,95.0621,
2009-04,95.5253,
2009-05,94.9996,
2009-06,93.7218,
2009-07,93.4728,
2009-08,93.3529,
2009-09,93.2904,
2009-10,93.7149,
2009-11,95.0423,
2009-12,96.1765,
2010-01,98.7574,
2010-02,99.9326,
2010-03,100.0597,
2010-04,99.5661,
2010-05,103.0385,
2010-06,104.6835,
2010-07,106.5443,
2010-08,105.4185,
2010-09,106.4933,
2010-10,107.7493,
2010-11,107.5161,
2010-12,105.8147,
2011-01,104.9189,
2011-02,103.5334,
2011-03,103.9059,
2011-04,99.9281,
2011-05,97.2711,
2011-06,102.7705,
2011-07,102.4315,
2011-08,101.8884,
2011-09,101.4767,
2011-10,100.7867,
2011-11,104.2860,
2011-12,104.9548,
2012-01,106.3802,
2012-02,110.5172,
2012-03,111.6984,
2012-04,112.2338,
2012-05,116.9619,
2012-06,116.1678,
2012-07,118.0838,
2012-08,118.8071,
2012-09,115.3771,
2012-10,113.6235,
2012-11,112.9757,
2012-12,114.0595,
2013-01,111.9361,
2013-02,111.8546,
2013-03,112.2934,
2013-04,110.8742,
2013-05,111.9449,
2013-06,114.5140,
2013-07,114.1429,
2013-08,114.7688,
2013-09,114.9482,
2013-10,114.3502,
2013-11,114.3863,
2013-12,114.9860,
2014-01,116.2714,
2014-02,116.2834,
2014-03,115.7307,
2014-04,116.0221,
2014-05,115.9990,
2014-06,116.1327,
2014-07,117.1179,
2014-08,118.1788,
2014-09,119.2075,
2014-10,119.4461,
2014-11,120.9084,
2014-12,121.3212,
2015-01,123.9205,
"","General: * Independent since 3 June 2006; formerly ""Serbia and Montenegro"". The euro has been the sole legal tender in Montenegro since 1 April 2002. On 25 October 2006, the ISO code was changed from CSD to RSD.",
"","Source: National Bank of Serbia, Belgrade",
