"",BBEX3.M.SDG.EUR.CA.AB.A01,BBEX3.M.SDG.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Sudan / EUR 1 = SDG ... (selling),
unit,SDG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:45,
2007-07,2.7481,comment
2007-08,2.7413,
2007-09,2.9156,
2007-10,2.9371,
2007-11,3.0018,
2007-12,3.0312,
2008-01,3.0215,
2008-02,3.0360,
2008-03,3.2151,
2008-04,3.1795,
2008-05,3.1933,
2008-06,3.2139,
2008-07,3.2640,
2008-08,3.2517,
2008-09,3.2361,
2008-10,2.8471,
2008-11,2.8571,
2008-12,3.1046,
2009-01,2.9312,
2009-02,2.9054,
2009-03,3.0722,
2009-04,3.1378,
2009-05,3.3416,
2009-06,3.3613,
2009-07,3.4151,
2009-08,3.4984,
2009-09,3.3864,
2009-10,3.3781,
2009-11,3.3734,
2009-12,3.2276,
2010-01,3.1103,
2010-02,3.0514,
2010-03,3.0007,
2010-04,2.9545,
2010-05,2.8018,
2010-06,2.9058,
2010-07,3.1039,
2010-08,3.0134,
2010-09,3.2354,
2010-10,3.3261,
2010-11,3.1748,
2010-12,3.3229,
2011-01,3.4227,
2011-02,3.7151,
2011-03,3.9690,
2011-04,3.9891,
2011-05,3.8606,
2011-06,3.8957,
2011-07,3.8635,
2011-08,3.8976,
2011-09,3.6534,
2011-10,3.7591,
2011-11,3.5769,
2011-12,3.4674,
2012-01,3.5393,
2012-02,3.6169,
2012-03,3.5589,
2012-04,3.5554,
2012-05,3.3206,
2012-06,5.5255,comment
2012-07,5.4269,
2012-08,5.5427,
2012-09,5.6837,
2012-10,5.7288,
2012-11,5.7265,
2012-12,5.8388,
2013-01,5.9988,
2013-02,5.8101,
2013-03,5.6678,
2013-04,5.7889,
2013-05,5.7296,
2013-06,5.7513,
2013-07,5.8605,
2013-08,5.8941,
2013-09,7.6961,comment
2013-10,7.8153,
2013-11,7.7536,
2013-12,7.8781,
2014-01,7.7953,
2014-02,7.8153,
2014-03,7.8495,
2014-04,7.8850,
2014-05,7.7696,
2014-06,7.7942,
2014-07,7.6880,
2014-08,7.4990,
2014-09,7.2500,
2014-10,7.2066,
2014-11,7.3175,
2014-12,7.2821,
2015-01,6.7468,
"","General: Listed in SDD until June 2007; see BBEX2:M:SDD:EUR:CA:AB:A01. The Sudanese pound (SDG) has been in circulation since 10 January 2007, when it was introduced at a rate of SDD 100 = SDG 1. The SDD remained legal tender alongside the SDG until 30 June 2007.",
"","Source: Central Bank of Sudan (Bank of Sudan), Khartoum",
"",Comment on 2007-07: Listed in SDD until June 2007; see BBEX2:M:SDD:EUR:CA:AB:A01.,
"",Comment on 2012-06: The Sudanese pound was devalued on 25 June 2012. We recorded the following exchange rates (buying/selling): 24 June 2012: EUR 1 = SDG 3.3570 / 3.3738 25 June 2012: EUR 1 = SDG 5.5414 / 5.5691 Calculated devaluation: 39.4%.,
"",Comment on 2013-09: The Sudanese pound was devalued on 24 September 2013. We recorded the following exchange rates (buying/selling): 23 September 2013: EUR 1 = SDG 5.9487 / 5.9785 24 September 2013: EUR 1 = SDG 7.6533 / 7.6916 Calculated devaluation: 22.3%.,
