"",BBK01.OEAH40Q,BBK01.OEAH40Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:12,
2002-01,0.105,
2002-04,0.112,
2002-07,0.106,
2002-10,0.100,
2003-01,0.099,
2003-04,0.093,
2003-07,0.128,
2003-10,0.136,
2004-01,0.144,
2004-04,0.109,
2004-07,0.126,
2004-10,0.108,
2005-01,0.118,
2005-04,0.126,
2005-07,0.122,
2005-10,0.125,
2006-01,0.128,
2006-04,0.118,
2006-07,0.120,
2006-10,0.106,
2007-01,0.115,
2007-04,0.110,
2007-07,0.115,
2007-10,0.110,
2008-01,0.107,
2008-04,0.103,
2008-07,0.101,
2008-10,0.094,
2009-01,0.104,
2009-04,0.106,
2009-07,0.109,
2009-10,0.116,
2010-01,0.117,
2010-04,0.126,
2010-07,0.126,
2010-10,0.141,
2011-01,0.153,
2011-04,0.160,
2011-07,0.156,
2011-10,0.159,
2012-01,0.177,
2012-04,0.186,
2012-07,0.186,
2012-10,0.173,
2013-01,0.182,
2013-04,0.185,
2013-07,0.198,
2013-10,0.194,
2014-01,0.194,
2014-04,0.202,
2014-07,0.181,
