"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Foreign trade additions incl. CIF / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:41,
1991-01,-4.55,
1991-04,-4.74,
1991-07,-4.36,
1991-10,-4.14,
1992-01,-4.63,
1992-04,-4.17,
1992-07,-4.36,
1992-10,-4.62,
1993-01,-4.29,
1993-04,-4.95,
1993-07,-5.05,
1993-10,-5.57,
1994-01,-5.35,
1994-04,-5.19,
1994-07,-5.83,
1994-10,-5.84,
1995-01,-5.69,
1995-04,-5.69,
1995-07,-5.81,
1995-10,-6.07,
1996-01,-6.11,
1996-04,-6.00,
1996-07,-6.53,
1996-10,-6.85,
1997-01,-6.89,
1997-04,-6.95,
1997-07,-7.20,
1997-10,-7.51,
1998-01,-7.48,
1998-04,-8.31,
1998-07,-8.37,
1998-10,-8.29,
1999-01,-7.63,
1999-04,-8.00,
1999-07,-8.05,
1999-10,-8.89,
2000-01,-9.32,
2000-04,-9.79,
2000-07,-9.75,
2000-10,-10.41,
2001-01,-10.04,
2001-04,-10.37,
2001-07,-11.36,
2001-10,-10.85,
2002-01,-11.72,
2002-04,-9.97,
2002-07,-11.22,
2002-10,-10.86,
2003-01,-12.33,
2003-04,-12.06,
2003-07,-12.06,
2003-10,-11.34,
2004-01,-11.86,
2004-04,-12.48,
2004-07,-12.83,
2004-10,-12.45,
2005-01,-12.82,
2005-04,-12.87,
2005-07,-13.42,
2005-10,-12.74,
2006-01,-13.75,
2006-04,-13.89,
2006-07,-15.18,
2006-10,-16.50,
2007-01,-11.91,
2007-04,-11.76,
2007-07,-11.60,
2007-10,-12.31,
2008-01,-12.60,
2008-04,-11.51,
2008-07,-11.25,
2008-10,-12.16,
2009-01,-10.32,
2009-04,-12.16,
2009-07,-11.75,
2009-10,-10.47,
2010-01,-13.15,
2010-04,-13.24,
2010-07,-12.83,
2010-10,-13.22,
2011-01,-12.53,
2011-04,-12.36,
2011-07,-14.22,
2011-10,-12.84,
2012-01,-10.04,
2012-04,-12.64,
2012-07,-11.99,
2012-10,-11.96,
2013-01,-10.35,
2013-04,-9.38,
2013-07,-8.96,
2013-10,-9.23,
2014-01,-9.42,
2014-04,-10.13,Provisional value
2014-07,-10.42,Provisional value
2014-10,-10.06,Provisional value
