"",BBK01.CEL20C,BBK01.CEL20C_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:59,
1999-01,-7.3,
1999-04,4.5,
1999-07,-2.7,
1999-10,11.3,
2000-01,-7.7,
2000-04,15.7,
2000-07,31.3,
2000-10,5.8,
2001-01,-36.8,
2001-04,1.7,
2001-07,-4.3,
2001-10,-1.8,
2002-01,-9.5,
2002-04,1.1,
2002-07,-8.2,
2002-10,1.1,
2003-01,-3.2,
2003-04,6.9,
2003-07,-6.7,
2003-10,3.1,
2004-01,-3.4,
2004-04,4.4,
2004-07,-1.7,
2004-10,-4.6,
2005-01,-7.7,
2005-04,5.3,
2005-07,-1.6,
2005-10,9.4,
2006-01,-7.8,
2006-04,28.0,
2006-07,11.7,
2006-10,0.1,
2007-01,-15.1,
2007-04,36.9,
2007-07,-24.9,
2007-10,13.7,
2008-01,-6.5,
2008-04,22.9,
2008-07,-12.6,
2008-10,3.1,
2009-01,-1.3,
2009-04,46.8,
2009-07,-32.5,
2009-10,-16.8,
2010-01,-9.8,
2010-04,6.0,
2010-07,3.5,
2010-10,36.3,
2011-01,-0.6,
2011-04,19.0,
2011-07,4.4,
2011-10,4.6,
2012-01,7.2,
2012-04,31.6,
2012-07,-7.2,
2012-10,-17.8,
2013-01,-23.4,
2013-04,4.4,
2013-07,-6.1,
2013-10,6.9,
2014-01,-1.7,
2014-04,8.8,
2014-07,5.3,
