"",BBK01.OEAG04L,BBK01.OEAG04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:22,
2002-01,15.538,
2002-04,15.484,
2002-07,15.800,
2002-10,15.907,
2003-01,15.823,
2003-04,15.983,
2003-07,16.401,
2003-10,16.418,
2004-01,18.417,
2004-04,18.910,
2004-07,19.185,
2004-10,19.355,
2005-01,20.558,
2005-04,21.248,
2005-07,21.346,
2005-10,22.869,
2006-01,22.777,
2006-04,22.884,
2006-07,23.053,
2006-10,22.749,
2007-01,23.205,
2007-04,22.925,
2007-07,23.241,
2007-10,23.083,
2008-01,22.666,
2008-04,23.022,
2008-07,25.045,
2008-10,25.348,
2009-01,26.884,
2009-04,26.604,
2009-07,20.249,
2009-10,20.002,
2010-01,21.608,
2010-04,21.972,
2010-07,22.613,
2010-10,22.200,
2011-01,24.154,
2011-04,23.824,
2011-07,24.600,
2011-10,25.432,
2012-01,25.829,
2012-04,26.429,
2012-07,26.266,
2012-10,27.765,
2013-01,26.068,
2013-04,25.826,
2013-07,27.108,
2013-10,28.175,
2014-01,28.487,
2014-04,28.012,
2014-07,27.887,
