"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4P___.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4P___.O.F._Z._T._X.N_FLAGS
"",Debit (Uses) / Other investment income (acc. to BH3) / Total economy / Other Investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:50,
1991-01,2356.531,
1991-02,2356.028,
1991-03,2373.643,
1991-04,2395.933,
1991-05,2412.147,
1991-06,2370.983,
1991-07,2406.992,
1991-08,2424.311,
1991-09,2459.675,
1991-10,2438.928,
1991-11,2455.255,
1991-12,2473.061,
1992-01,2528.157,
1992-02,2524.833,
1992-03,2547.435,
1992-04,2569.073,
1992-05,2591.660,
1992-06,2605.914,
1992-07,2602.117,
1992-08,2579.506,
1992-09,2585.951,
1992-10,2603.227,
1992-11,2593.059,
1992-12,2621.539,
1993-01,2635.724,
1993-02,2584.756,
1993-03,2537.875,
1993-04,2488.734,
1993-05,2405.419,
1993-06,2392.725,
1993-07,2342.530,
1993-08,2292.734,
1993-09,2254.348,
1993-10,2228.386,
1993-11,2166.518,
1993-12,2109.944,
1994-01,2096.543,
1994-02,2125.366,
1994-03,2135.934,
1994-04,2192.532,
1994-05,2210.582,
1994-06,2213.909,
1994-07,2237.538,
1994-08,2261.229,
1994-09,2280.706,
1994-10,2300.601,
1994-11,2340.354,
1994-12,2354.508,
1995-01,2398.338,
1995-02,2381.146,
1995-03,2417.175,
1995-04,2403.362,
1995-05,2429.027,
1995-06,2431.939,
1995-07,2434.210,
1995-08,2441.643,
1995-09,2430.683,
1995-10,2453.723,
1995-11,2423.318,
1995-12,2421.371,
1996-01,2385.509,
1996-02,2363.653,
1996-03,2371.254,
1996-04,2402.743,
1996-05,2388.126,
1996-06,2379.512,
1996-07,2494.670,
1996-08,2512.456,
1996-09,2502.710,
1996-10,2507.790,
1996-11,2599.810,
1996-12,2634.467,
1997-01,2695.230,
1997-02,2721.770,
1997-03,2761.628,
1997-04,2826.004,
1997-05,2874.193,
1997-06,2930.860,
1997-07,2873.741,
1997-08,2861.586,
1997-09,2891.277,
1997-10,2904.316,
1997-11,2871.500,
1997-12,2913.863,
1998-01,2888.780,
1998-02,2922.490,
1998-03,2923.564,
1998-04,2958.850,
1998-05,2959.140,
1998-06,2969.647,
1998-07,3082.284,
1998-08,3102.208,
1998-09,3108.040,
1998-10,3138.131,
1998-11,3199.372,
1998-12,3240.259,
1999-01,3508.887,
1999-02,3573.752,
1999-03,3621.781,
1999-04,3745.633,
1999-05,3796.411,
1999-06,3852.113,
1999-07,3890.873,
1999-08,3954.306,
1999-09,4033.495,
1999-10,4043.846,
1999-11,4117.594,
1999-12,4144.555,
2000-01,4389.460,
2000-02,4499.325,
2000-03,4654.162,
2000-04,4669.976,
2000-05,4762.368,
2000-06,4792.842,
2000-07,4874.567,
2000-08,4947.823,
2000-09,4970.501,
2000-10,4966.988,
2000-11,4924.986,
2000-12,4964.607,
2001-01,4705.526,
2001-02,4668.328,
2001-03,4535.001,
2001-04,4467.532,
2001-05,4388.072,
2001-06,4338.476,
2001-07,4232.335,
2001-08,4189.221,
2001-09,4197.543,
2001-10,4227.520,
2001-11,4177.523,
2001-12,4091.238,
2002-01,4087.087,
2002-02,4010.801,
2002-03,3967.284,
2002-04,3944.506,
2002-05,3923.459,
2002-06,3842.388,
2002-07,3889.367,
2002-08,3808.668,
2002-09,3700.897,
2002-10,3755.927,
2002-11,3690.975,
2002-12,3647.106,
2003-01,3409.498,
2003-02,3395.976,
2003-03,3344.815,
2003-04,3408.409,
2003-05,3401.260,
2003-06,3400.422,
2003-07,3437.841,
2003-08,3407.179,
2003-09,3424.955,
2003-10,3365.127,
2003-11,3392.328,
2003-12,3358.373,
2004-01,3128.143,
2004-02,3110.887,
2004-03,3133.594,
2004-04,3033.037,
2004-05,3020.138,
2004-06,3037.278,
2004-07,3065.445,
2004-08,3118.136,
2004-09,3196.719,
2004-10,3252.035,
2004-11,3260.850,
2004-12,3402.527,
2005-01,3560.502,
2005-02,3570.127,
2005-03,3612.708,
2005-04,3689.854,
2005-05,3738.720,
2005-06,3779.060,
2005-07,3820.113,
2005-08,3910.062,
2005-09,3928.368,
2005-10,4034.260,
2005-11,4102.307,
2005-12,4084.109,
2006-01,4157.719,
2006-02,4276.300,
2006-03,4358.293,
2006-04,4462.530,
2006-05,4580.841,
2006-06,4697.927,
2006-07,4841.589,
2006-08,4949.615,
2006-09,5072.115,
2006-10,5092.729,
2006-11,5209.821,
2006-12,5408.894,
2007-01,5530.396,
2007-02,5607.801,
2007-03,5648.401,
2007-04,5760.984,
2007-05,5791.726,
2007-06,5805.381,
2007-07,5814.818,
2007-08,5837.198,
2007-09,5818.733,
2007-10,5864.969,
2007-11,5898.982,
2007-12,5737.731,
2008-01,5704.159,
2008-02,5608.680,
2008-03,5504.210,
2008-04,5234.538,
2008-05,5022.294,
2008-06,4831.237,
2008-07,4570.787,
2008-08,4326.869,
2008-09,4110.403,
2008-10,3720.130,
2008-11,3447.355,
2008-12,3256.536,
2009-01,3010.816,
2009-02,2755.680,
2009-03,2597.525,
2009-04,2524.876,
2009-05,2430.689,
2009-06,2365.342,
2009-07,2352.804,
2009-08,2275.261,
2009-09,2226.361,
2009-10,2194.474,
2009-11,2186.681,
2009-12,2203.870,
2010-01,2301.994,
2010-02,2282.036,
2010-03,2279.921,
2010-04,2391.769,
2010-05,2448.992,
2010-06,2475.795,
2010-07,2491.911,
2010-08,2496.819,
2010-09,2507.262,
2010-10,2480.228,
2010-11,2457.451,
2010-12,2418.855,
2011-01,2339.052,
2011-02,2342.149,
2011-03,2339.215,
2011-04,2331.238,
2011-05,2289.542,
2011-06,2273.234,
2011-07,2234.268,
2011-08,2212.589,
2011-09,2175.495,
2011-10,2106.346,
2011-11,2045.744,
2011-12,1995.507,
2012-01,1888.267,
2012-02,1840.415,
2012-03,1803.592,
2012-04,1801.573,
2012-05,1775.237,
2012-06,1742.908,
2012-07,1692.802,
2012-08,1681.764,
2012-09,1667.931,
2012-10,1649.224,
2012-11,1639.110,
2012-12,1617.508,
2013-01,1701.497,
2013-02,1658.016,
2013-03,1672.311,
2013-04,1702.260,
2013-05,1691.063,
2013-06,1694.578,
2013-07,1656.784,
2013-08,1632.828,
2013-09,1600.161,
2013-10,1595.330,
2013-11,1597.679,
2013-12,1664.430,
2014-01,1587.108,
2014-02,1602.517,Provisional value
2014-03,1563.355,Provisional value
2014-04,1628.307,Provisional value
2014-05,1646.640,Provisional value
2014-06,1632.308,Provisional value
2014-07,1467.077,Provisional value
2014-08,1528.181,Provisional value
2014-09,1448.741,
2014-10,1405.833,
2014-11,1382.565,
2014-12,1360.848,Provisional value
