"",BBFN1.M.DE.N.1.L.RU.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.RU.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2010-08,0.143,
2010-09,0.171,
2010-10,0.182,
2010-11,0.179,
2010-12,0.186,
2011-01,0.186,
2011-02,0.187,
2011-03,0.195,
2011-04,0.195,
2011-05,0.175,
2011-06,0.182,
2011-07,0.174,
2011-08,0.174,
2011-09,0.182,
2011-10,0.182,
2011-11,0.182,
2011-12,0.189,
2012-01,0.180,
2012-02,0.180,
2012-03,0.187,
2012-04,0.187,
2012-05,0.187,
2012-06,0.194,
2012-07,0.194,
2012-08,0.195,
2012-09,0.202,
2012-10,0.202,
2012-11,0.202,
2012-12,0.209,
2013-01,0.213,
2013-02,0.213,
2013-03,0.219,
2013-04,0.219,
2013-05,0.219,
2013-06,0.401,
2013-07,0.399,
2013-08,0.399,
2013-09,0.423,
2013-10,0.421,
2013-11,0.422,
2013-12,0.432,
2014-01,0.434,
2014-02,0.473,
2014-03,0.502,
2014-04,0.285,
2014-05,0.289,
2014-06,0.342,
2014-07,0.344,
2014-08,0.370,
2014-09,0.394,
2014-10,0.395,
2014-11,0.387,
2014-12,0.364,
