"",BBK01.OEAC31U,BBK01.OEAC31U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:56,
2002-01,0.672,
2002-04,0.671,
2002-07,0.678,
2002-10,0.738,
2003-01,0.702,
2003-04,0.732,
2003-07,0.737,
2003-10,0.731,
2004-01,0.777,
2004-04,0.732,
2004-07,0.764,
2004-10,0.788,
2005-01,0.746,
2005-04,0.751,
2005-07,0.771,
2005-10,0.783,
2006-01,0.782,
2006-04,0.779,
2006-07,0.794,
2006-10,0.808,
2007-01,0.791,
2007-04,0.772,
2007-07,0.755,
2007-10,0.690,
2008-01,0.679,
2008-04,0.694,
2008-07,0.671,
2008-10,0.684,
2009-01,0.672,
2009-04,0.691,
2009-07,0.716,
2009-10,0.764,
2010-01,0.789,
2010-04,0.792,
2010-07,0.772,
2010-10,0.760,
2011-01,0.773,
2011-04,0.792,
2011-07,0.799,
2011-10,0.796,
2012-01,0.816,
2012-04,0.827,
2012-07,0.849,
2012-10,0.834,
2013-01,0.861,
2013-04,0.872,
2013-07,0.870,
2013-10,0.858,
2014-01,0.822,
2014-04,0.821,
2014-07,0.781,
