"",BBK01.OEYB13H,BBK01.OEYB13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:33,
2002-01,15.171,
2002-04,14.936,
2002-07,14.917,
2002-10,15.123,
2003-01,14.554,
2003-04,13.845,
2003-07,13.744,
2003-10,14.609,
2004-01,14.221,
2004-04,14.166,
2004-07,14.197,
2004-10,12.886,
2005-01,12.315,
2005-04,12.048,
2005-07,11.745,
2005-10,11.223,
2006-01,11.201,
2006-04,10.894,
2006-07,10.793,
2006-10,10.315,
2007-01,10.085,
2007-04,9.671,
2007-07,9.303,
2007-10,8.114,
2008-01,8.018,
2008-04,7.819,
2008-07,7.624,
2008-10,7.330,
2009-01,7.079,
2009-04,8.073,
2009-07,7.543,
2009-10,6.920,
2010-01,6.998,
2010-04,6.631,
2010-07,6.462,
2010-10,6.277,
2011-01,6.045,
2011-04,6.302,
2011-07,6.179,
2011-10,5.705,
2012-01,5.481,
2012-04,5.408,
2012-07,5.370,
2012-10,5.302,
2013-01,5.262,
2013-04,5.213,
2013-07,4.953,
2013-10,4.856,
2014-01,4.855,
2014-04,4.793,
2014-07,4.814,
