"",BBK01.OEHM08O,BBK01.OEHM08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:11,
2002-01,0.064,
2002-04,0.066,
2002-07,0.064,
2002-10,0.065,
2003-01,0.075,
2003-04,0.068,
2003-07,0.064,
2003-10,0.068,
2004-01,0.072,
2004-04,0.076,
2004-07,0.072,
2004-10,0.078,
2005-01,0.071,
2005-04,0.076,
2005-07,0.074,
2005-10,0.072,
2006-01,0.068,
2006-04,0.072,
2006-07,0.062,
2006-10,0.062,
2007-01,0.061,
2007-04,0.064,
2007-07,0.063,
2007-10,0.061,
2008-01,0.055,
2008-04,0.044,
2008-07,0.044,
2008-10,0.035,
2009-01,0.035,
2009-04,0.034,
2009-07,0.044,
2009-10,0.045,
2010-01,0.049,
2010-04,0.048,
2010-07,0.049,
2010-10,0.049,
2011-01,0.064,
2011-04,0.068,
2011-07,0.050,
2011-10,0.051,
2012-01,0.050,
2012-04,0.052,
2012-07,0.054,
2012-10,0.049,
2013-01,0.048,
2013-04,0.046,
2013-07,0.029,
2013-10,0.040,
2014-01,0.036,
2014-04,0.048,
2014-07,0.048,
