"",BBK01.OEAH71U,BBK01.OEAH71U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:36,
2002-01,1.030,
2002-04,1.123,
2002-07,1.065,
2002-10,1.076,
2003-01,1.029,
2003-04,1.087,
2003-07,1.074,
2003-10,1.171,
2004-01,1.185,
2004-04,1.160,
2004-07,1.242,
2004-10,1.194,
2005-01,1.174,
2005-04,1.201,
2005-07,1.300,
2005-10,1.314,
2006-01,1.377,
2006-04,1.388,
2006-07,1.472,
2006-10,1.467,
2007-01,1.471,
2007-04,1.632,
2007-07,1.656,
2007-10,1.685,
2008-01,1.648,
2008-04,1.709,
2008-07,1.805,
2008-10,1.874,
2009-01,1.758,
2009-04,1.701,
2009-07,1.698,
2009-10,1.601,
2010-01,1.525,
2010-04,1.442,
2010-07,1.557,
2010-10,1.602,
2011-01,1.600,
2011-04,1.572,
2011-07,1.607,
2011-10,1.695,
2012-01,1.637,
2012-04,1.674,
2012-07,1.760,
2012-10,1.672,
2013-01,1.638,
2013-04,1.687,
2013-07,1.659,
2013-10,1.700,
2014-01,1.677,
2014-04,1.616,
2014-07,1.651,
