"",BBFN1.M.DE.N.1.A.S1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:37,
1995-01,11.721,
1995-02,11.417,
1995-03,11.482,
1995-04,11.448,
1995-05,11.543,
1995-06,11.706,
1995-07,12.158,
1995-08,12.187,
1995-09,12.198,
1995-10,12.106,
1995-11,12.244,
1995-12,12.447,
1996-01,11.955,
1996-02,12.259,
1996-03,12.439,
1996-04,12.521,
1996-05,12.609,
1996-06,13.022,
1996-07,13.160,
1996-08,12.901,
1996-09,12.822,
1996-10,13.201,
1996-11,13.312,
1996-12,13.327,
1997-01,13.074,
1997-02,13.012,
1997-03,13.371,
1997-04,13.387,
1997-05,13.550,
1997-06,13.940,
1997-07,14.039,
1997-08,14.050,
1997-09,14.249,
1997-10,14.413,
1997-11,14.382,
1997-12,15.006,
1998-01,14.379,
1998-02,14.825,
1998-03,14.571,
1998-04,14.582,
1998-05,14.308,
1998-06,13.830,
1998-07,14.039,
1998-08,13.442,
1998-09,13.323,
1998-10,13.465,
1998-11,13.581,
1998-12,13.472,
1999-01,13.111,
1999-02,13.370,
1999-03,13.769,
1999-04,12.526,
1999-05,13.671,
1999-06,14.130,
1999-07,13.950,
1999-08,14.035,
1999-09,14.380,
1999-10,14.903,
1999-11,15.021,
1999-12,14.999,
2000-01,15.034,
2000-02,14.974,
2000-03,15.464,
2000-04,15.433,
2000-05,15.629,
2000-06,15.701,
2000-07,15.983,
2000-08,16.222,
2000-09,16.753,
2000-10,17.017,
2000-11,17.024,
2000-12,17.225,
2001-01,17.010,
2001-02,16.975,
2001-03,16.978,
2001-04,16.987,
2001-05,16.705,
2001-06,17.595,
2001-07,16.518,
2001-08,16.426,
2001-09,17.027,
2001-10,17.093,
2001-11,16.927,
2001-12,16.592,
2002-01,15.346,
2002-02,15.730,
2002-03,16.112,
2002-04,16.230,
2002-05,16.693,
2002-06,17.063,
2002-07,17.131,
2002-08,16.803,
2002-09,17.114,
2002-10,16.992,
2002-11,17.681,
2002-12,17.607,
2003-01,17.233,
2003-02,16.716,
2003-03,16.643,
2003-04,16.683,
2003-05,16.251,
2003-06,16.081,
2003-07,16.629,
2003-08,16.575,
2003-09,16.476,
2003-10,16.685,
2003-11,16.965,
2003-12,17.019,
2004-01,16.282,
2004-02,16.188,
2004-03,16.577,
2004-04,16.684,
2004-05,17.103,
2004-06,17.230,
2004-07,17.329,
2004-08,17.117,
2004-09,17.444,
2004-10,17.524,
2004-11,17.410,
2004-12,17.354,
2005-01,16.607,
2005-02,16.919,
2005-03,17.503,
2005-04,17.791,
2005-05,17.760,
2005-06,18.390,
2005-07,18.480,
2005-08,18.411,
2005-09,18.828,
2005-10,19.116,
2005-11,19.502,
2005-12,19.687,
2006-01,19.255,
2006-02,19.483,
2006-03,20.100,
2006-04,19.923,
2006-05,20.490,
2006-06,20.860,
2006-07,20.535,
2006-08,20.623,
2006-09,20.730,
2006-10,20.813,
2006-11,21.063,
2006-12,20.938,
2007-01,20.526,
2007-02,21.027,
2007-03,21.403,
2007-04,21.331,
2007-05,21.224,
2007-06,21.793,
2007-07,22.165,
2007-08,21.804,
2007-09,22.680,
2007-10,22.826,
2007-11,23.174,
2007-12,23.178,
2008-01,22.542,
2008-02,22.653,
2008-03,23.139,
2008-04,23.776,
2008-05,23.230,
2008-06,23.460,
2008-07,24.101,
2008-08,23.616,
2008-09,23.181,
2008-10,23.640,
2008-11,23.935,
2008-12,23.332,
2009-01,21.891,
2009-02,21.264,
2009-03,21.311,
2009-04,20.888,
2009-05,20.894,
2009-06,21.069,
2009-07,21.685,
2009-08,21.895,
2009-09,22.696,
2009-10,23.124,
2009-11,23.634,
2009-12,23.362,
2010-01,23.092,
2010-02,23.997,
2010-03,25.177,
2010-04,26.117,
2010-05,26.691,
2010-06,27.562,
2010-07,26.951,
2010-08,26.137,
2010-09,26.930,
2010-10,28.182,
2010-11,28.601,
2010-12,28.990,
2011-01,28.286,
2011-02,29.226,
2011-03,30.233,
2011-04,30.542,
2011-05,31.043,
2011-06,30.474,
2011-07,30.870,
2011-08,30.678,
2011-09,31.834,
2011-10,32.457,
2011-11,32.717,
2011-12,32.423,
2012-01,32.547,
2012-02,32.874,
2012-03,34.089,
2012-04,34.264,
2012-05,34.965,
2012-06,36.476,
2012-07,36.369,
2012-08,35.567,
2012-09,35.641,
2012-10,35.093,
2012-11,35.764,
2012-12,34.577,
2013-01,32.860,
2013-02,33.443,
2013-03,35.045,
2013-04,35.174,
2013-05,34.452,
2013-06,36.111,
2013-07,35.520,
2013-08,35.398,
2013-09,36.017,
2013-10,36.211,
2013-11,37.307,
2013-12,36.875,
2014-01,35.369,
2014-02,35.733,
2014-03,36.241,
2014-04,37.224,
2014-05,36.945,
2014-06,38.117,
2014-07,39.132,
2014-08,38.727,
2014-09,39.907,
2014-10,40.860,
2014-11,41.068,
2014-12,40.814,
