"",BBK01.OEAH97O,BBK01.OEAH97O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:24,
2002-01,0.106,
2002-04,0.102,
2002-07,0.096,
2002-10,0.094,
2003-01,0.091,
2003-04,0.087,
2003-07,0.085,
2003-10,0.087,
2004-01,0.097,
2004-04,0.093,
2004-07,0.089,
2004-10,0.109,
2005-01,0.108,
2005-04,0.108,
2005-07,0.097,
2005-10,0.099,
2006-01,0.098,
2006-04,0.068,
2006-07,0.070,
2006-10,0.074,
2007-01,0.076,
2007-04,0.072,
2007-07,0.076,
2007-10,0.083,
2008-01,0.081,
2008-04,0.077,
2008-07,0.070,
2008-10,0.071,
2009-01,0.071,
2009-04,0.075,
2009-07,0.080,
2009-10,0.085,
2010-01,0.087,
2010-04,0.087,
2010-07,0.083,
2010-10,0.083,
2011-01,0.088,
2011-04,0.089,
2011-07,0.090,
2011-10,0.084,
2012-01,0.085,
2012-04,0.087,
2012-07,0.087,
2012-10,0.086,
2013-01,0.085,
2013-04,0.083,
2013-07,0.080,
2013-10,0.077,
2014-01,0.076,
2014-04,0.074,
2014-07,0.073,
