"",BBFN1.M.DE.N.1.L.LU.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2005-07,8.984,
2005-08,9.331,
2005-09,9.294,
2005-10,9.429,
2005-11,9.360,
2005-12,9.379,
2006-01,9.399,
2006-02,9.645,
2006-03,9.453,
2006-04,10.921,
2006-05,10.731,
2006-06,10.889,
2006-07,11.413,
2006-08,12.534,
2006-09,12.763,
2006-10,13.775,
2006-11,14.764,
2006-12,14.870,
2007-01,15.527,
2007-02,15.165,
2007-03,15.206,
2007-04,15.152,
2007-05,15.591,
2007-06,16.347,
2007-07,16.253,
2007-08,15.841,
2007-09,16.445,
2007-10,16.295,
2007-11,16.814,
2007-12,21.119,
2008-01,22.152,
2008-02,22.489,
2008-03,25.880,
2008-04,26.466,
2008-05,26.229,
2008-06,25.820,
2008-07,26.465,
2008-08,26.607,
2008-09,26.066,
2008-10,26.653,
2008-11,26.905,
2008-12,28.025,
2009-01,30.320,
2009-02,31.068,
2009-03,30.793,
2009-04,31.336,
2009-05,32.248,
2009-06,32.299,
2009-07,32.285,
2009-08,31.849,
2009-09,32.125,
2009-10,30.555,
2009-11,30.855,
2009-12,34.205,
2010-01,32.056,
2010-02,31.174,
2010-03,30.873,
2010-04,30.953,
2010-05,31.978,
2010-06,30.687,
2010-07,34.050,
2010-08,32.337,
2010-09,31.408,
2010-10,30.399,
2010-11,30.167,
2010-12,31.455,
2011-01,30.500,
2011-02,28.627,
2011-03,28.654,
2011-04,27.274,
2011-05,27.481,
2011-06,27.187,
2011-07,27.719,
2011-08,28.150,
2011-09,27.897,
2011-10,28.093,
2011-11,28.339,
2011-12,28.624,
2012-01,28.759,
2012-02,27.595,
2012-03,27.167,
2012-04,26.904,
2012-05,26.771,
2012-06,26.546,
2012-07,26.725,
2012-08,28.912,
2012-09,25.948,
2012-10,27.196,
2012-11,27.616,
2012-12,27.532,
2013-01,27.169,
2013-02,26.963,
2013-03,29.214,
2013-04,27.679,
2013-05,24.644,
2013-06,24.675,
2013-07,24.379,
2013-08,23.729,
2013-09,24.414,
2013-10,24.205,
2013-11,23.403,
2013-12,23.509,
2014-01,23.676,
2014-02,22.599,
2014-03,22.282,
2014-04,23.070,
2014-05,23.460,
2014-06,23.455,
2014-07,23.131,
2014-08,22.925,
2014-09,23.066,
2014-10,22.938,
2014-11,23.932,
2014-12,24.124,
